"","Metric","Level","value","Time"
"1","connectance","Hummingbirds",0.225,"1.2014.High"
"2","web asymmetry","Hummingbirds",-0.111111111111111,"1.2014.High"
"3","links per species","Hummingbirds",1,"1.2014.High"
"4","number of compartments","Hummingbirds",2,"1.2014.High"
"5","compartment diversity","Hummingbirds",1.41741118113173,"1.2014.High"
"6","cluster coefficient","Hummingbirds",0.2,"1.2014.High"
"7","nestedness","Hummingbirds",30.5249832586685,"1.2014.High"
"8","weighted nestedness","Hummingbirds",0.155125316321244,"1.2014.High"
"9","weighted NODF","Hummingbirds",17.5799086757991,"1.2014.High"
"10","interaction strength asymmetry","Hummingbirds",0,"1.2014.High"
"11","specialisation asymmetry","Hummingbirds",0.0698291496525306,"1.2014.High"
"12","linkage density","Hummingbirds",2.55555555555556,"1.2014.High"
"13","weighted connectance","Hummingbirds",0.141975308641975,"1.2014.High"
"14","Fisher alpha","Hummingbirds",6710886142.33334,"1.2014.High"
"15","Shannon diversity","Hummingbirds",2.89037175789616,"1.2014.High"
"16","interaction evenness","Hummingbirds",0.659597030977716,"1.2014.High"
"17","Alatalo interaction evenness","Hummingbirds",1,"1.2014.High"
"18","H2","Hummingbirds",0,"1.2014.High"
"19","number.of.species.HL","Hummingbirds",8,"1.2014.High"
"20","mean.number.of.shared.partners.HL","Hummingbirds",0.392857142857143,"1.2014.High"
"21","cluster.coefficient.HL","Hummingbirds",0.288888888888889,"1.2014.High"
"22","weighted.cluster.coefficient.HL","Hummingbirds",0,"1.2014.High"
"23","niche.overlap.HL","Hummingbirds",0.149149659863946,"1.2014.High"
"24","togetherness.HL","Hummingbirds",0.0892857142857143,"1.2014.High"
"25","C.score.HL","Hummingbirds",0.760416666666667,"1.2014.High"
"26","V.ratio.HL","Hummingbirds",0.884615384615385,"1.2014.High"
"27","discrepancy.HL","Hummingbirds",10,"1.2014.High"
"28","extinction.slope.HL","Hummingbirds",2.06109026940203,"1.2014.High"
"29","robustness.HL","Hummingbirds",0.667419959212376,"1.2014.High"
"30","functional.complementarity.HL","Hummingbirds",13.1473720209074,"1.2014.High"
"31","partner.diversity.HL","Hummingbirds",0.953265582066846,"1.2014.High"
"32","generality.HL","Hummingbirds",2.88888888888889,"1.2014.High"
"33","Raw.Camera","Hummingbirds",33,"1.2014.High"
"34","Raw.Transect","Hummingbirds",18,"1.2014.High"
"35","connectance","Plants",0.225,"1.2014.High"
"36","web asymmetry","Plants",-0.111111111111111,"1.2014.High"
"37","links per species","Plants",1,"1.2014.High"
"38","number of compartments","Plants",2,"1.2014.High"
"39","compartment diversity","Plants",1.41741118113173,"1.2014.High"
"40","cluster coefficient","Plants",0.2,"1.2014.High"
"41","nestedness","Plants",30.4326365908992,"1.2014.High"
"42","weighted nestedness","Plants",0.161873446107738,"1.2014.High"
"43","weighted NODF","Plants",17.5799086757991,"1.2014.High"
"44","interaction strength asymmetry","Plants",0,"1.2014.High"
"45","specialisation asymmetry","Plants",0.0698291496525306,"1.2014.High"
"46","linkage density","Plants",2.55555555555556,"1.2014.High"
"47","weighted connectance","Plants",0.141975308641975,"1.2014.High"
"48","Fisher alpha","Plants",6710886142.33334,"1.2014.High"
"49","Shannon diversity","Plants",2.89037175789616,"1.2014.High"
"50","interaction evenness","Plants",0.659597030977716,"1.2014.High"
"51","Alatalo interaction evenness","Plants",1,"1.2014.High"
"52","H2","Plants",0,"1.2014.High"
"53","number.of.species.HL","Plants",10,"1.2014.High"
"54","mean.number.of.shared.partners.HL","Plants",0.377777777777778,"1.2014.High"
"55","cluster.coefficient.HL","Plants",0.277777777777778,"1.2014.High"
"56","weighted.cluster.coefficient.HL","Plants",0,"1.2014.High"
"57","niche.overlap.HL","Plants",0.177777777777778,"1.2014.High"
"58","togetherness.HL","Plants",0.118518518518519,"1.2014.High"
"59","C.score.HL","Plants",0.723456790123457,"1.2014.High"
"60","V.ratio.HL","Plants",0.59375,"1.2014.High"
"61","discrepancy.HL","Plants",11,"1.2014.High"
"62","extinction.slope.HL","Plants",1.67774620291286,"1.2014.High"
"63","robustness.HL","Plants",0.621417391206046,"1.2014.High"
"64","functional.complementarity.HL","Plants",12.3681086825632,"1.2014.High"
"65","partner.diversity.HL","Plants",0.703338851125154,"1.2014.High"
"66","generality.HL","Plants",2.22222222222222,"1.2014.High"
"67","Raw.Camera","Plants",33,"1.2014.High"
"68","Raw.Transect","Plants",18,"1.2014.High"
"69","connectance","Hummingbirds",0.285714285714286,"1.2014.Low"
"70","web asymmetry","Hummingbirds",-0.0666666666666667,"1.2014.Low"
"71","links per species","Hummingbirds",1.06666666666667,"1.2014.Low"
"72","number of compartments","Hummingbirds",1,"1.2014.Low"
"73","compartment diversity","Hummingbirds",NA,"1.2014.Low"
"74","cluster coefficient","Hummingbirds",0.25,"1.2014.Low"
"75","nestedness","Hummingbirds",32.0461339723414,"1.2014.Low"
"76","weighted nestedness","Hummingbirds",0.24716058715278,"1.2014.Low"
"77","weighted NODF","Hummingbirds",34.6938775510204,"1.2014.Low"
"78","interaction strength asymmetry","Hummingbirds",0,"1.2014.Low"
"79","specialisation asymmetry","Hummingbirds",0.11171797650155,"1.2014.Low"
"80","linkage density","Hummingbirds",2.6875,"1.2014.Low"
"81","weighted connectance","Hummingbirds",0.179166666666667,"1.2014.Low"
"82","Fisher alpha","Hummingbirds",26843541208.0007,"1.2014.Low"
"83","Shannon diversity","Hummingbirds",2.77258872223978,"1.2014.Low"
"84","interaction evenness","Hummingbirds",0.688781735176392,"1.2014.Low"
"85","Alatalo interaction evenness","Hummingbirds",1,"1.2014.Low"
"86","H2","Hummingbirds",0,"1.2014.Low"
"87","number.of.species.HL","Hummingbirds",7,"1.2014.Low"
"88","mean.number.of.shared.partners.HL","Hummingbirds",0.619047619047619,"1.2014.Low"
"89","cluster.coefficient.HL","Hummingbirds",0.34375,"1.2014.Low"
"90","weighted.cluster.coefficient.HL","Hummingbirds",0,"1.2014.Low"
"91","niche.overlap.HL","Hummingbirds",0.260544217687075,"1.2014.Low"
"92","togetherness.HL","Hummingbirds",0.160714285714286,"1.2014.Low"
"93","C.score.HL","Hummingbirds",0.558862433862434,"1.2014.Low"
"94","V.ratio.HL","Hummingbirds",0.742857142857143,"1.2014.Low"
"95","discrepancy.HL","Hummingbirds",7,"1.2014.Low"
"96","extinction.slope.HL","Hummingbirds",2.17995272292841,"1.2014.Low"
"97","robustness.HL","Hummingbirds",0.680199970786157,"1.2014.Low"
"98","functional.complementarity.HL","Hummingbirds",10.8394205325816,"1.2014.Low"
"99","partner.diversity.HL","Hummingbirds",0.9318399936705,"1.2014.Low"
"100","generality.HL","Hummingbirds",2.75,"1.2014.Low"
"101","Raw.Camera","Hummingbirds",26,"1.2014.Low"
"102","Raw.Transect","Hummingbirds",11,"1.2014.Low"
"103","connectance","Plants",0.285714285714286,"1.2014.Low"
"104","web asymmetry","Plants",-0.0666666666666667,"1.2014.Low"
"105","links per species","Plants",1.06666666666667,"1.2014.Low"
"106","number of compartments","Plants",1,"1.2014.Low"
"107","compartment diversity","Plants",NA,"1.2014.Low"
"108","cluster coefficient","Plants",0.25,"1.2014.Low"
"109","nestedness","Plants",32.0461339723414,"1.2014.Low"
"110","weighted nestedness","Plants",0.240052664663074,"1.2014.Low"
"111","weighted NODF","Plants",34.6938775510204,"1.2014.Low"
"112","interaction strength asymmetry","Plants",0,"1.2014.Low"
"113","specialisation asymmetry","Plants",0.11171797650155,"1.2014.Low"
"114","linkage density","Plants",2.6875,"1.2014.Low"
"115","weighted connectance","Plants",0.179166666666667,"1.2014.Low"
"116","Fisher alpha","Plants",26843541208.0007,"1.2014.Low"
"117","Shannon diversity","Plants",2.77258872223978,"1.2014.Low"
"118","interaction evenness","Plants",0.688781735176392,"1.2014.Low"
"119","Alatalo interaction evenness","Plants",1,"1.2014.Low"
"120","H2","Plants",0,"1.2014.Low"
"121","number.of.species.HL","Plants",8,"1.2014.Low"
"122","mean.number.of.shared.partners.HL","Plants",0.5,"1.2014.Low"
"123","cluster.coefficient.HL","Plants",0.375,"1.2014.Low"
"124","weighted.cluster.coefficient.HL","Plants",0,"1.2014.Low"
"125","niche.overlap.HL","Plants",0.213775510204082,"1.2014.Low"
"126","togetherness.HL","Plants",0.139880952380952,"1.2014.Low"
"127","C.score.HL","Plants",0.60515873015873,"1.2014.Low"
"128","V.ratio.HL","Plants",0.952380952380952,"1.2014.Low"
"129","discrepancy.HL","Plants",6,"1.2014.Low"
"130","extinction.slope.HL","Plants",1.94485247721547,"1.2014.Low"
"131","robustness.HL","Plants",0.658084945822636,"1.2014.Low"
"132","functional.complementarity.HL","Plants",12.5860545092336,"1.2014.Low"
