"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.244444444444444,0.244444444444444
"web asymmetry",0.0526315789473684,0.0526315789473684
"links per species",1.15789473684211,1.15789473684211
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.222222222222222,0.222222222222222
"nestedness",27.7927946119216,27.8252457727652
"weighted nestedness",0.266714194124565,0.259442623112276
"weighted NODF",34.6913580246914,34.6913580246914
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.0926748294721413,0.0926748294721413
"linkage density",3.27272727272727,3.27272727272727
"weighted connectance",0.172248803827751,0.172248803827751
"Fisher alpha",26843542120.0914,26843542120.0914
"Shannon diversity",3.09104245335832,3.09104245335832
"interaction evenness",0.686927376893132,0.686927376893132
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",10,9
"mean.number.of.shared.partners.HL",0.711111111111111,0.5
"cluster.coefficient.HL",0.292929292929293,0.390909090909091
"weighted.cluster.coefficient.HL",0.191176470588235,0.132743362831858
"niche.overlap.HL",0.291428571428571,0.142642696809363
"togetherness.HL",0.2,0.0787037037037037
"C.score.HL",0.50462962962963,0.659722222222222
"V.ratio.HL",0.716417910447761,2.07142857142857
"discrepancy.HL",9,9
"extinction.slope.HL",2.1750392518802,1.78080682192447
"robustness.HL",0.678652289261184,0.639706003107622
"functional.complementarity.HL",13.7071894975462,15.8805495875478
"partner.diversity.HL",0.89052596026601,1.16950991741538
"generality.HL",2.63636363636364,3.90909090909091
"Raw.Camera",6,6
"Raw.Transect",122,122
