"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Fawn-breasted Brilliant","Gorgeted Sunangel","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph"
"Centropogon solanifolius",0,0,0,0,0,0,0,2,0
"Drymonia collegarum",0,0,0,0,0,0,0,2,0
"Drymonia teuscheri",0,0,0,0,0,0,0,0,5
"Heliconia burleana",0,1,0,0,0,0,0,4,0
"Macleania bullata",0,0,0,4,0,0,0,0,0
"Mezobromelia capituligera",0,0,10,1,0,0,0,0,0
"Palicourea acetosoides",0,0.5,0,0.5,0,0,0,0,0.5
"Palicourea demissa",1,0.25,0.25,0,0.25,0,0,0,1.25
"Palicourea lineata",0,0,0.6,0,0,1.8,0.7,0,0
"Psammisia ulbrichiana",0,2.83333333333333,0.333333333333333,0.5,0,0.833333333333333,0,0,0.5
