"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Centropogon solanifolius",1,0.1,0.2,-0.8,0.5,1,1,1,1,2,0,0,0.0770676691729323,0.0380952380952381,1677720700.50048,0,1,0.185185185185185,0.119440038549816,0
"Columnea ciliata",1,0.1,0.2,-0.8,0.583333333333333,1,1,1,1,2,0,0,0.0770676691729323,0.0380952380952381,1677720700.50048,0,1,0.185185185185185,0.119440038549816,0
"Drymonia collegarum",1,0.1,0.2,-0.8,0.666666666666667,1,1,1,1,2,0,0,0.0770676691729323,0.0380952380952381,1677720700.50048,0,1,0.185185185185185,0.119440038549816,0
"Drymonia teuscheri",1,0.1,0.25,-0.75,0.75,1,1,1,1,2.09090909090909,0,0,0.0714285714285714,0.0363636363636364,1677720700.50048,0,1,0.148148148148148,0.119440038549816,0.138646883853214
"Glossoloma oblongicalyx",1,0.1,0.2,-0.8,0.833333333333333,1,1,1,1,2,0,0,0.0770676691729323,0.0380952380952381,1677720700.50048,0,1,0.185185185185185,0.119440038549816,0
"Heliconia burleana",2,0.2,0.45,-0.275,0.333333333333333,0.888888888888889,0.666666666666667,0.888888888888889,1,1.36363636363636,0.518518518518518,0.48695652173913,0.101503759398496,0.0571428571428571,2941562359.8741,0.693147180559945,2,0.333333333333333,0.238880077099631,0
"Macleania bullata",1,0.1,0.25,-0.75,0.916666666666667,1,1,1,1,2.09090909090909,0,0,0.0714285714285714,0.0366412213740458,1677720700.50048,0,1,0.148148148148148,0.119440038549816,0.138646883853214
"Mezobromelia capituligera",2,0.2,0.5,-0.25,0.416666666666667,0.888888888888889,0.666666666666667,0.888888888888889,1,1.90909090909091,0.0216049382716049,0,0.0827067669172932,0.0466019417475728,2941562359.8741,0.693147180559945,2,0.296296296296296,0.238880077099631,0.0744871473609633
"Mikania websteri",1,0.1,1,0,1,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.037037037037037,0.119440038549816,1
"Palicourea acetosoides",3,0.3,0.75,-0.0833333333333333,0.166666666666667,0.777777777777778,0.509175077217316,0.777777777777778,1,1.45454545454545,0.12962962962963,0.0811594202898551,0.0958646616541353,0.0592592592592593,419430397.854167,1.09861228866811,3,0.444444444444444,0.358320115649447,0.0509224543613064
"Palicourea demissa",5,0.5,2.75,0.35,0,0.555555555555556,0.333333333333333,0.555555555555556,1,1.45454545454545,0.12962962962963,0.0289855072463768,0.0958646616541353,0.0578313253012048,838860790,1.6094379124341,5,0.518518518518518,0.597200192749078,0.418713253488764
"Palicourea lineata",3,0.3,1.75,0.25,0.25,0.777777777777778,0.509175077217316,0.777777777777778,1,2.09090909090909,0,0,0.0714285714285714,0.0452830188679245,419430397.854167,1.09861228866811,3,0.259259259259259,0.358320115649447,0.525461227180653
"Psammisia ulbrichiana",5,0.5,1.5,0.1,0.0833333333333333,0.555555555555556,0.333333333333333,0.555555555555556,1,1.36363636363636,0.200617283950617,0.402898550724638,0.101503759398496,0.0631578947368421,838860790,1.6094379124341,5,0.666666666666667,0.597200192749078,0.128069880233145
