"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-fronted Lancebill","Sparkling Violetear","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Centropogon solanifolius",0,1,0,0,1,0,0,0,0,6,2,0,0
"Drymonia collegarum",0,9,0,0,1,0,0,0,0,3,0,0,0
"Drymonia tenuis",0,2,0,0,0,0,0,0,0,0,0,0,1
"Heliconia impudica",0,2,0,0,0,0,0,0,0,1,3,0,0
"Palicourea demissa",1.5,0,3,0,2,0,0,0.5,0,0,3,0,0
"Palicourea lineata",0,0,0.333333333333333,0,0,1,0,0,0.333333333333333,0,4,0,0
"Pitcairnia sodiroi",0,8,0,0,0,0,0,0,0,1,5,0,0
"Psammisia sodiroi",0,0.5,0,0.5,0,12,0,0,0.5,0,3.5,0,0
"Psammisia ulbrichiana",0,3.33333333333333,0,1,0.666666666666667,3.33333333333333,0.333333333333333,0,0,0,0.666666666666667,1.33333333333333,0
"Renealmia sessilifolia",0,0,0,0,0,0,0,0,0,0,5,0,0
