"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",1,0.1,0.15,-0.85,0.666666666666667,1,1,1,0.15,1.75,0,0,0.066951566951567,0.0279854250842776,NA,0,1,0.111150263387198,0.106007067137809,0.218568071929813
"Brown Inca",7,0.7,2.70564802844215,0.243664004063164,0.0833333333333333,0.792181069958848,0.333333333333333,0.405220870901734,0.540331755530997,1.25,0.330081300813008,0.3359375,0.0897435897435897,0.094165705862528,NA,1.59296327314238,4.91830162698454,0.546670521257017,0.552764162772142,0.434175858552564
"Buff-tailed Coronet",2,0.2,0.358823529411765,-0.320588235294118,0.416666666666667,0.987654320987654,0.888888888888889,0.894427190999916,0.275882352941176,1.58333333333333,0.0455284552845528,0,0.0754985754985755,0.0493756794664592,NA,0.325082973391448,1.38414548846169,0.153848135608719,0.166077738515901,0.468900786676764
"Collared Inca",2,0.2,0.123161764705882,-0.438419117647059,0.5,0.944444444444444,0.888888888888889,0.71145824860365,0.0723039215686274,1.41666666666667,0.0170731707317073,0,0.0811965811965812,0.0274716151800296,NA,0.636514168294813,1.88988157484231,0.210060834814336,0.293286219081272,0
"Fawn-breasted Brilliant",4,0.4,0.439423076923077,-0.140144230769231,0.25,0.851851851851852,0.666666666666667,0.466569474815843,0.132554945054945,1.16666666666667,0.241869918699187,0,0.094017094017094,0.0479263390209649,NA,1.30130555043691,3.67409024793637,0.408376098766464,0.462897526501767,0.129978481801975
"Gorgeted Sunangel",3,0.3,1.19485294117647,0.0649509803921569,0.333333333333333,0.959876543209877,0.777777777777778,0.734221314385416,0.593187274909964,1.33333333333333,0.0516260162601626,0.140625,0.0854700854700855,0.103554460379905,NA,0.721853571980734,2.05824478189897,0.228774449623397,0.353356890459364,0.652642766082258
"Green-fronted Lancebill",1,0.1,0.03125,-0.96875,1,1,1,1,0.03125,1.5,0,0,0.0769230769230769,0.00741998242034934,NA,0,1,0.111150263387198,0.113074204946996,0.11854282805559
"Sparkling Violetear",1,0.1,0.05,-0.95,0.916666666666667,1,1,1,0.05,1.75,0,0,0.066951566951567,0.0107143370837931,NA,0,1,0.111150263387198,0.106007067137809,0.150474759276047
"Speckled Hummingbird",2,0.2,0.0882352941176471,-0.455882352941177,0.583333333333333,0.925925925925926,0.888888888888889,0.683130051063973,0.0411764705882353,1.58333333333333,0.0182926829268293,0,0.0726495726495727,0.016588310083941,NA,0.673011667009256,1.96013170420779,0.217869155196294,0.240282685512368,0
"Tawny-bellied Hermit",4,0.4,1.06886446886447,0.0172161172161172,0.166666666666667,0.907407407407407,0.666666666666667,0.566107324008164,0.411854811854812,1.75,0,0,0.0641025641025641,0.075019925938625,NA,1.12095039267358,3.06776840287102,0.340983265990039,0.398329585608738,0.479326559096074
"Violet-tailed Sylph",8,0.8,3.33140756302521,0.291425945378151,0,0.52962962962963,0.222222222222222,0.228679274790016,0.503369373226998,1.08333333333333,0.295528455284553,0.5234375,0.0982905982905983,0.0964200283709102,NA,1.97536971269564,7.20928452518714,0.801313873807804,0.666764196169341,0.313564812437148
"Wedge-billed Hummingbird",1,0.1,0.125,-0.875,0.75,1,1,1,0.125,1.5,0,0,0.0769230769230769,0.0266161252771294,NA,0,1,0.111150263387198,0.113074204946996,0.18310116050188
"White-whiskered Hermit",1,0.1,0.333333333333333,-0.666666666666667,0.833333333333333,1,1,1,0.333333333333333,2.16666666666667,0,0,0.0512820512820513,0.0192235318000516,NA,0,1,0.111150263387198,0.0318021201413428,0.61223806496151
