"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Andean Emerald",1,0.0769230769230769,0.0833333333333333,-0.916666666666667,0.75,1,1,1,0.0833333333333333,1.08333333333333,0,0,0.0777027027027027,0.0633484162895927,1677720700.50048,0,1,0.106668124479241,0.324324324324324,0
"Booted Racket-tail",2,0.153846153846154,0.416666666666667,-0.291666666666667,0.5,0.916666666666667,0.916666666666667,0.67700320038633,0.208333333333333,1.08333333333333,0,0,0.0777027027027027,0.0716112531969309,2941562359.8741,0.693147180559945,2,0.213336248958483,0.405405405405405,0.0743133905062482
"Brown Inca",2,0.153846153846154,0.75,-0.125,0.583333333333333,0.916666666666667,0.916666666666667,0.67700320038633,0.375,1.66666666666667,0,0,0.0540540540540541,0.0445151033386327,2941562359.8741,0.693147180559945,2,0.213336248958483,0.162162162162162,0.462843304746876
"Buff-tailed Coronet",1,0.0769230769230769,0.0833333333333333,-0.916666666666667,0.833333333333333,1,1,1,0.0833333333333333,1.08333333333333,0,0,0.0777027027027027,0.0633484162895927,1677720700.50048,0,1,0.106668124479241,0.324324324324324,0
"Green-crowned Brilliant",3,0.230769230769231,1.58333333333333,0.194444444444445,0.25,0.833333333333333,0.833333333333333,0.52704627669473,0.527777777777778,1,0.25,0.0576923076923077,0.0810810810810811,0.0686274509803921,419430397.854167,1.09861228866811,3,0.320004373437724,0.405405405405405,0.360528527174435
"Green-crowned Woodnymph",1,0.0769230769230769,0.0833333333333333,-0.916666666666667,0.916666666666667,1,1,1,0.0833333333333333,1.08333333333333,0,0,0.0777027027027027,0.0633484162895927,1677720700.50048,0,1,0.106668124479241,0.324324324324324,0
"Purple-bibbed Whitetip",2,0.153846153846154,0.333333333333333,-0.333333333333333,0.666666666666667,0.916666666666667,0.916666666666667,0.67700320038633,0.166666666666667,1,0.25,0.0576923076923077,0.0810810810810811,0.0760180995475113,2941562359.8741,0.693147180559945,2,0.213336248958483,0.432432432432432,0
"Rufous-tailed Hummingbird",3,0.230769230769231,0.666666666666667,-0.111111111111111,0.333333333333333,0.833333333333333,0.833333333333333,0.52704627669473,0.222222222222222,1,0.25,0.120192307692308,0.0810810810810811,0.0837487537387836,419430397.854167,1.09861228866811,3,0.320004373437724,0.513513513513514,0
"Stripe-throated Hermit",5,0.384615384615385,2.16666666666667,0.233333333333333,0.0833333333333333,0.666666666666667,0.666666666666667,0.365148371670111,0.433333333333333,1,0.25,0.322115384615385,0.0810810810810811,0.086687306501548,838860790,1.6094379124341,5,0.533340622396207,0.47027027027027,0.209860394574094
"Tawny-bellied Hermit",8,0.615384615384615,4.08333333333333,0.385416666666667,0,0.416666666666667,0.416666666666667,0.228217732293819,0.510416666666667,1.08333333333333,0,0.307692307692308,0.0777027027027027,0.0859335038363171,13421770604.0004,2.07944154167984,8,0.853344995833932,0.530405405405405,0.257451401933982
"Wedge-billed Hummingbird",3,0.230769230769231,1.08333333333333,0.0277777777777778,0.416666666666667,0.833333333333333,0.833333333333333,0.52704627669473,0.361111111111111,1.08333333333333,0,0,0.0777027027027027,0.073202614379085,419430397.854167,1.09861228866811,3,0.320004373437724,0.432432432432432,0.22105705434887
"White-necked Jacobin",1,0.0769230769230769,0.0833333333333333,-0.916666666666667,1,1,1,1,0.0833333333333333,1.08333333333333,0,0,0.0777027027027027,0.0633484162895927,1677720700.50048,0,1,0.106668124479241,0.324324324324324,0
"White-whiskered Hermit",5,0.384615384615385,1.58333333333333,0.116666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.365148371670111,0.316666666666667,1.08333333333333,0,0.134615384615385,0.0777027027027027,0.0882352941176471,838860790,1.6094379124341,5,0.533340622396207,0.497297297297297,0.0967132018086354
