"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-fronted Lancebill","Hoary Puffleg","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird"
"Besleria solanoides",5.33333333333333,0,0,0,0,0,0,0,0,0,2.33333333333333,0
"Bomarea multiflora",0,0,0,1,0,2,0,0,0,1,0,0
"Guzmania jaramilloi",5,0,0,0,0,0,0,0,0,1,0,0
"Heliconia burleana",0,1,0,0,0,0,0,0,0,0,0,1
"Macleania bullata",0,1,0,3,0,2,3,0,0,3,0,0
"Macleania stricta",0,0,0.5,0,0,1.5,0,0,0,0,0,0
"Mezobromelia capituligera",0,0,0,0.5,0,0,0,0,0,0.5,0,0
"Palicourea demissa",1,0,0.5,0,0.25,0,0,0,0,0,1.5,0
"Palicourea lineata",0,0,0.25,0,0,1.25,0,0,0.25,0,0,0
"Psammisia sodiroi",0,0,0,0,0,1.5,0,3,0,0,7,0
