"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.476190476190476,0.476190476190476
"web asymmetry",0.4,0.4
"links per species",1,1
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.333333333333333,0.333333333333333
"nestedness",36.9502442317057,36.9502442317057
"weighted nestedness",0.378558478468125,0.371900688652297
"weighted NODF",18.0555555555556,18.0555555555556
"interaction strength asymmetry",0.265865384615385,0.265865384615385
"specialisation asymmetry",-0.308608005619583,-0.308608005619583
"linkage density",2.185516175466,2.185516175466
"weighted connectance",0.2185516175466,0.2185516175466
"Fisher alpha",3.84336815832031,3.84336815832031
"Shannon diversity",2.0024185330121,2.0024185330121
"interaction evenness",0.657711865808889,0.657711865808889
"Alatalo interaction evenness",0.826459280495491,0.826459280495491
"H2",0.635883106663597,0.635883106663597
"number.of.species.HL",7,3
"mean.number.of.shared.partners.HL",0.666666666666667,1
"cluster.coefficient.HL",0.555555555555555,0.547619047619048
"weighted.cluster.coefficient.HL",0,0
"niche.overlap.HL",0.522267669991274,0.390309971820744
"togetherness.HL",0.428571428571429,0.222222222222222
"C.score.HL",0.476190476190476,0.666666666666667
"V.ratio.HL",0.375,1
"discrepancy.HL",3,2
"extinction.slope.HL",1.52147708344129,0.992272955783232
"robustness.HL",0.595714285714286,0.777728112823487
"functional.complementarity.HL",38.8025417889259,39.9793180102051
"partner.diversity.HL",0.339764782183131,1.03862937710666
"generality.HL",1.44761416110659,2.92341818982541
