"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Gorgeted Sunangel","Green Violetear","Hoary Puffleg","Sparkling Violetear","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph"
"Besleria solanoides",1,1,0,0,1,0,0,0,0,1,1
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,1,0
"Columnea ciliata",1,0,0,0,0,0,0,0,0,0,0
"Gasteranthus quitensis",0,1,0,0,0,0,0,0,1,0,1
"Glossoloma oblongicalyx",0,0,0,0,0,0,0,0,0,1,0
"Heliconia griggsiana",0,0,0,0,0,0,0,0,0,1,0
"Macleania bullata",0,0,0,1,0,0,0,0,0,0,0
"Macleania macrantha",0,0,1,0,0,0,0,0,0,0,0
"Macleania stricta",0,1,0,1,0,0,0,0,0,0,0
"Meriania tomentosa",1,0,1,1,1,0,1,0,0,0,1
"Psammisia sodiroi",0,0,0,0,1,0,0,0,0,0,0
"Sarcopera anomala",1,0,0,0,0,1,0,1,0,0,1
