"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Gorgeted Sunangel","Green-fronted Lancebill","Sparkling Violetear","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph","White-sided Flowerpiercer"
"Besleria solanoides",1,0,0,0,0,0,0,1,0,1,0
"Centropogon solanifolius",0,0,0,0,0,0,0,0,1,0,0
"Gasteranthus quitensis",0,0,0,0,0,0,0,0,1,0,0
"Glossoloma oblongicalyx",0,0,0,0,0,0,0,0,0,1,1
"Macleania bullata",0,1,0,1,1,1,0,0,1,0,0
"Macleania stricta",0,0,0,1,0,0,0,1,0,0,0
"Meriania tomentosa",0,0,1,0,1,0,0,0,0,0,0
"Mezobromelia capituligera",0,1,0,1,0,0,0,0,1,1,0
"Psammisia sodiroi",0,0,0,0,1,0,0,0,0,0,0
"Sarcopera anomala",1,0,0,0,0,0,1,0,0,0,0
"Tillandsia complanata",0,0,0,0,1,0,0,0,0,0,0
