"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Gorgeted Sunangel","Green-fronted Lancebill","Hoary Puffleg","Sparkling Violetear","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","White-whiskered Hermit"
"Bomarea pardina",0,12,0,0,0,0,0,0,0,0,4,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,0.5,0,1
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,2,0,0
"Gasteranthus quitensis",0,0,0,0,0,0,0,0,0,0,1,1,0
"Glossoloma oblongicalyx",0,0,0,0,1,0,0,0,0,0,1,0,0
"Guzmania amplectens",0,2.5,0,0,0,0,0,0,0,0,0.5,0,2
"Guzmania jaramilloi",0,1.5,0,0,0,0,0,0,0,0,0,2.5,0
"Heliconia griggsiana",0,0,0,0,0,0,0,0,0,0,10,0,1
"Macleania bullata",0,2,0,0,0,0,0,0,0,0,0,0,0
"Meriania tomentosa",1,0,6,1,1,0,0,0,7,0,0,5,0
"Palicourea acetosoides",0,0,0,0,0,3,0,0,0,0,0,0,0
"Palicourea demissa",2,0,0,0,0,0,0,0,0,2,0,0,0
"Psammisia aberrans",0,1,0,0,0,0,0,0,0,0,1,0,0
"Psammisia sodiroi",0,0,0,0,0.5,0,3,0,2.5,0,0,2,0
"Salvia quitensis",0,0,0,0,0,0,0,0,0,3,0,0,0
"Sarcopera anomala",6.5,0,0,0,0,0,0,9,0,0,0,0,0
