"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",3,0.1875,0.966973886328725,-0.0110087045570916,0.25,0.969230769230769,0.866666666666667,0.701271763866147,0.397202684129679,1.45454545454545,0.345454545454545,0.246753246753247,0.101145038167939,0.0230054278761982,NA,0.82465932376647,2.28110351518765,0.207167341292856,0.296439628482972,0.48630418565329
"Brown Inca",5,0.3125,3.125,0.425,0.0833333333333333,0.961111111111111,0.733333333333333,0.631432731612933,0.700657894736842,1.90909090909091,0.0515151515151515,0.220779220779221,0.0763358778625954,0.0304820528142219,NA,1.14948641861783,3.15657133705046,0.286676377088563,0.284313725490196,0.74953212987568
"Buff-tailed Coronet",1,0.0625,0.285714285714286,-0.714285714285714,0.75,1,1,1,0.285714285714286,1.63636363636364,0,0,0.0896946564885496,0.0612844173414692,NA,0,1,0.0908189128259767,0.205882352941176,0.488442536652176
"Collared Inca",1,0.0625,0.0476190476190476,-0.952380952380952,1,1,1,1,0.0476190476190476,1.63636363636364,0,0,0.0896946564885496,0.019590585854772,NA,0,1,0.0908189128259767,0.205882352941176,0
"Gorgeted Sunangel",3,0.1875,0.610119047619048,-0.129960317460317,0.416666666666667,0.9,0.866666666666667,0.56332347131407,0.231547619047619,1.36363636363636,0.136363636363636,0,0.103053435114504,0.0257294411745501,NA,1.05492016798614,2.87174588749259,0.260808839414546,0.303921568627451,0.23677053283388
"Green-fronted Lancebill",1,0.0625,1,0,0.833333333333333,1,1,1,1,NA,0,0,0,NA,NA,0,1,0.0908189128259767,0.0294117647058824,1
"Hoary Puffleg",1,0.0625,0.375,-0.625,0.916666666666667,1,1,1,0.375,2,0,0,0.0744274809160305,0.0408938850543868,NA,0,1,0.0908189128259767,0.0784313725490196,0.656169134900554
"Sparkling Violetear",1,0.0625,0.580645161290323,-0.419354838709677,0.666666666666667,1,1,1,0.580645161290323,2.36363636363636,0,0,0.0601145038167939,0.0210457621099082,NA,0,1,0.0908189128259767,0.151960784313725,0.743517702548651
"Speckled Hummingbird",2,0.125,0.645833333333333,-0.177083333333333,0.5,0.976190476190476,0.933333333333333,0.765724661150709,0.327850877192982,1.54545454545455,0.0303030303030303,0.103896103896104,0.0954198473282443,0.071064013595615,NA,0.57633412775675,1.77950302833546,0.16161253040396,0.284313725490196,0.459874192792394
"Stripe-throated Hermit",2,0.125,1.5,0.25,0.583333333333333,0.955555555555556,0.933333333333333,0.698569967862919,0.8,2.36363636363636,0,0,0.0601145038167939,0.0160229935476443,NA,0.673011667009257,1.96013170420779,0.17801703037188,0.0686274509803922,0.893650653419119
"Tawny-bellied Hermit",8,0.5,4.09242424242424,0.38655303030303,0,0.933333333333333,0.533333333333333,0.512510162500869,0.690378787878788,1.81818181818182,0.121212121212121,0.12987012987013,0.0820610687022901,0.0255066464189407,NA,1.53252349580499,4.62984548886092,0.420477533850602,0.382843137254902,0.657800083265282
"Violet-tailed Sylph",4,0.25,1.61309523809524,0.15327380952381,0.166666666666667,0.926666666666667,0.8,0.53296472522777,0.357426303854875,1.27272727272727,0.315151515151515,0.298701298701299,0.108778625954198,0.0683920892709843,NA,1.23478375688007,3.43763507539167,0.312202280239516,0.343137254901961,0.436591101708923
"White-whiskered Hermit",3,0.1875,1.15757575757576,0.0525252525252525,0.333333333333333,0.933333333333333,0.866666666666667,0.577350269189626,0.389393939393939,2.63636363636364,0,0,0.0591603053435115,0.0202924831713847,NA,1.03972077083992,2.82842712474619,0.256874676476952,0.17156862745098,0.576852243869724
