"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.175757575757576,0.175757575757576
"web asymmetry",-0.153846153846154,-0.153846153846154
"links per species",1.11538461538462,1.11538461538462
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.133333333333333,0.133333333333333
"nestedness",27.4096019732692,27.6483929888027
"weighted nestedness",0.187114100760169,0.178677317851865
"weighted NODF",19.0104166666667,19.0104166666667
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.0965060284125159,0.0965060284125159
"linkage density",2.89655172413793,2.89655172413793
"weighted connectance",0.111405835543767,0.111405835543767
"Fisher alpha",6710886262.77586,6710886262.77586
"Shannon diversity",3.36729582998647,3.36729582998647
"interaction evenness",0.659485270102992,0.659485270102992
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",11,15
"mean.number.of.shared.partners.HL",0.363636363636364,0.333333333333333
"cluster.coefficient.HL",0.227586206896552,0.216300940438871
"weighted.cluster.coefficient.HL",0.0337078651685393,0.06
"niche.overlap.HL",0.123261183261183,0.158458049886621
"togetherness.HL",0.0705454545454546,0.0897959183673469
"C.score.HL",0.761747474747475,0.744973544973545
"V.ratio.HL",0.992,0.577380952380952
"discrepancy.HL",17,17
"extinction.slope.HL",2.29737533559763,1.76989905094398
"robustness.HL",0.690499485413125,0.636988073512907
"functional.complementarity.HL",20.1574174149172,20.0301578720431
"partner.diversity.HL",1.11690046152375,0.771177925796276
"generality.HL",3.41379310344828,2.37931034482759
"Raw.Camera",91,91
"Raw.Transect",9,9
