"","Booted Racket-tail","Brown Inca","Collared Inca","Green-crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-fronted Lancebill","Hoary Puffleg","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph"
"Bomarea pardina",0,1,1,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,0,1,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,1,0
"Drymonia tenuis",0,0,0,0,0,1,0,1,1,0,0,1
"Fuchsia macrostigma",0,1,0,0,0,0,0,0,0,0,1,1
"Glossoloma tetragonoides",0,0,0,0,0,0,0,0,0,0,0,1
"Mezobromelia capituligera",0,0,1,0,1,0,0,0,0,0,0,1
"Palicourea acetosoides",0,0,1,0,0,0,1,0,0,0,0,1
"Palicourea demissa",1,0,0,1,0,0,0,0,0,0,0,0
"Pitcairnia squarrosa",0,0,0,0,1,0,0,0,0,0,0,0
"Salvia quitensis",0,0,0,0,0,0,0,0,0,1,0,0
"Wercklea ferox",0,0,0,0,0,0,0,0,0,0,1,0
