"","Booted Racket-tail","Brown Inca","Collared Inca","Green-crowned Woodnymph","Gorgeted Sunangel","Purple-bibbed Whitetip","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph"
"Besleria solanoides",0,0,0,0,0,0,0,0,1
"Burmeistera multiflora",0,0,0,0,0,0,0,0,1
"Centropogon solanifolius",0,0,0,0,0,0,0,1,0
"Drymonia tenuis",0,0,0,0,0,0,0,0,1
"Faramea calyptrata",0,0,1,0,0,0,0,0,0
"Fuchsia macrostigma",0,0,1,0,0,0,0,1,0
"Gasteranthus pansamalanus",0,0,0,0,0,0,0,1,0
"Glossoloma oblongicalyx",0,0,1,0,0,0,0,1,0
"Heliconia griggsiana",0,0,0,0,0,0,0,1,0
"Kohleria affinis",0,1,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,1,1,0,0,0,0,0,0
"Palicourea acetosoides",0,1,0,0,0,0,0,0,1
"Palicourea demissa",1,0,0,1,0,1,0,0,1
"Palicourea lineata",0,0,0,0,1,0,1,0,0
"Psammisia ulbrichiana",0,1,0,0,0,0,0,0,0
