"","Andean Emerald","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-crowned Brilliant","Green-fronted Lancebill","Purple-bibbed Whitetip","Rufous-tailed Hummingbird","Sparkling Violetear","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-necked Jacobin","White-whiskered Hermit"
"Bomarea pardina",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,4.5,1,0.5,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Drymonia collegarum",0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
"Drymonia tenuis",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Drymonia teuscheri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,6
"Glossoloma purpureum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4
"Heliconia burleana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Heliconia griggsiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0
"Heliconia impudica",0,0,2.5,0,0,0,0,0,0,0,2,0,0,0,0.5,0.5,1.5,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Palicourea demissa",0.5,5.625,0,1.5,0,0.875,1,0,0.125,0,1.875,0.125,0.125,0,3,0.25,0.75,0.125,0.125,0.625
"Palicourea lineata",0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,4,0,0,0
"Pitcairnia sodiroi",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
"Psammisia aberrans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0,8
"Psammisia sodiroi",0,0,0.5,0,0.5,0,0,12,0,0,0,0,0,0.5,0,0,3.5,0,0,0
"Psammisia ulbrichiana",0,0,3.33333333333333,0,1,0,0.666666666666667,3.33333333333333,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,1.33333333333333,0,0
"Renealmia sessilifolia",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,0.5
"Salvia quitensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
