"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Bomarea multiflora",1,0.0833333333333333,1,0,0.428571428571429,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.037037037037037,0.0958024885974262,1
"Centropogon solanifolius",1,0.0833333333333333,0.25,-0.75,0.5,1,1,1,1,2.15384615384615,0,0,0.0702614379084967,0.0334545454545455,1677720700.50048,0,1,0.148148148148148,0.0958024885974262,0
"Columnea ciliata",2,0.166666666666667,0.666666666666667,-0.166666666666667,0.142857142857143,0.909090909090909,0.674199862463242,0.909090909090909,1,2.07692307692308,0.0518867924528302,0.0518867924528302,0.0718954248366013,0.0353846153846154,2941562359.8741,0.693147180559945,2,0.222222222222222,0.191604977194852,0.207518749639422
"Columnea mastersonii",1,0.0833333333333333,0.25,-0.75,0.571428571428571,1,1,1,1,2.15384615384615,0,0,0.0702614379084967,0.0334545454545455,1677720700.50048,0,1,0.148148148148148,0.0958024885974262,0
"Columnea medicinalis",1,0.0833333333333333,0.25,-0.75,0.642857142857143,1,1,1,1,2.15384615384615,0,0,0.0702614379084967,0.0334545454545455,1677720700.50048,0,1,0.148148148148148,0.0958024885974262,0
"Drymonia collegarum",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.714285714285714,1,1,1,1,2.53846153846154,0,0,0.059640522875817,0.0283076923076923,1677720700.50048,0,1,0.111111111111111,0.0958024885974262,0.207518749639422
"Drymonia tenuis",1,0.0833333333333333,0.25,-0.75,0.785714285714286,1,1,1,1,1.84615384615385,0,0,0.076797385620915,0.0391489361702128,1677720700.50048,0,1,0.148148148148148,0.0958024885974262,0
"Glossoloma purpureum",2,0.166666666666667,0.666666666666667,-0.166666666666667,0.214285714285714,0.909090909090909,0.674199862463242,0.909090909090909,1,2.07692307692308,0.0518867924528302,0.0518867924528302,0.0718954248366013,0.0353846153846154,2941562359.8741,0.693147180559945,2,0.222222222222222,0.191604977194852,0.207518749639422
"Macleania stricta",2,0.166666666666667,0.833333333333333,-0.0833333333333333,0.285714285714286,0.909090909090909,0.674199862463242,0.909090909090909,1,2.53846153846154,0,0,0.059640522875817,0.0340740740740741,2941562359.8741,0.693147180559945,2,0.185185185185185,0.191604977194852,0.353759374819711
"Meriania tomentosa",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.857142857142857,1,1,1,1,2.53846153846154,0,0,0.059640522875817,0.0278787878787879,1677720700.50048,0,1,0.111111111111111,0.0958024885974262,0.207518749639422
"Palicourea acetosoides",2,0.166666666666667,0.583333333333333,-0.208333333333333,0.357142857142857,0.909090909090909,0.674199862463242,0.909090909090909,1,1.69230769230769,0.207547169811321,0.207547169811321,0.0866013071895425,0.0427906976744186,2941562359.8741,0.693147180559945,2,0.259259259259259,0.191604977194852,0.103759374819711
"Palicourea demissa",7,0.583333333333333,4.83333333333333,0.547619047619048,0,0.454545454545455,0.254823595718813,0.454545454545455,1,1.38461538461538,0.481132075471698,0.481132075471698,0.102941176470588,0.0525714285714286,838860799.928571,1.94591014905531,7,0.544973544973545,0.670617420181983,0.507492383117902
"Palicourea lineata",3,0.25,1.08333333333333,0.0277777777777778,0.0714285714285714,0.818181818181818,0.522232967867094,0.818181818181818,1,1.69230769230769,0.207547169811321,0.207547169811321,0.0866013071895425,0.0427906976744186,419430397.854167,1.09861228866811,3,0.333333333333333,0.287407465792279,0.179052231751041
"Psammisia ulbrichiana",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.928571428571429,1,1,1,1,2.53846153846154,0,0,0.059640522875817,0.0283076923076923,1677720700.50048,0,1,0.111111111111111,0.0958024885974262,0.207518749639422
"Salvia quitensis",1,0.0833333333333333,0.333333333333333,-0.666666666666667,1,1,1,1,1,2.92307692307692,0,0,0.053921568627451,0.0245333333333333,1677720700.50048,0,1,0.111111111111111,0.0958024885974262,0.207518749639422
