"","Andean Emerald","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-fronted Lancebill","Hoary Puffleg","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Besleria solanoides",0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,0,0
"Bomarea multiflora",0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9
"Glossoloma purpureum",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4
"Guzmania jaramilloi",0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Heliconia burleana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Macleania bullata",0,0,1,0,3,0,0,2,3,0,0,0,3,0,0,0
"Macleania stricta",0,0,0,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
"Palicourea demissa",10,4.25,0,0.5,0,1,0.25,0,0,0,0,11,0,1.75,0,0
"Palicourea lineata",0,0,0,0.25,0,0,0,1.25,0,0,0.25,0,0,0,0,0
"Psammisia sodiroi",0,0,0,0,0,0,0,1.5,0,3,0,0,0,7,0,0
