"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Andean Emerald",1,0.0178571428571429,0.0625,-0.9375,0.782608695652174,1,1,1,0.0625,1.34782608695652,0,0,0.0404542228530873,0.0112644385002039,1677720700.50048,0,1,0.0228040624440079,0.0677966101694915,0
"Booted Racket-tail",18,0.321428571428571,4.68237734487735,0.204576519159852,0.130434782608696,0.690909090909091,0.690909090909091,0.195917937881753,0.260132074715408,1.04347826086957,0.109965099865879,0.00848972296693476,0.0479063165365507,0.0310573840682252,6710886142.33334,2.89037175789616,18,0.410473123992141,0.49623352165725,0.154828785625309
"Brown Inca",29,0.517857142857143,6.30856782106782,0.183054062795442,0.0434782608695652,0.490909090909091,0.490909090909091,0.130107262235897,0.217536821416132,1.08695652173913,0.0698871409714783,0.288203753351206,0.0468417317246274,0.0334397212535754,6710886262.77586,3.36729582998647,29,0.661317810876228,0.660286382232612,0.0846920463722232
"Buff-tailed Coronet",13,0.232142857142857,3.68912337662338,0.206855644355644,0.304347826086957,0.781818181818182,0.781818181818182,0.245234296418466,0.283778721278721,1.04347826086957,0.109965099865879,0.0138516532618409,0.0479063165365507,0.0292929070237916,3355443137.26923,2.56494935746154,13,0.296452811772102,0.377118644067797,0.20290118276435
"Collared Inca",14,0.25,2.5738455988456,0.112417542774686,0.217391304347826,0.763636363636364,0.763636363636364,0.233549683248457,0.183846114203257,1.30434782608696,0.0837299659943175,0.0134048257372654,0.0415188076650106,0.0291603851931107,1677721599.85714,2.63905732961526,14,0.31925687421611,0.36864406779661,0.151579642715395
"Green-crowned Woodnymph",7,0.125,3.09027777777778,0.298611111111111,0.478260869565217,0.890909090909091,0.890909090909091,0.356753034006338,0.441468253968254,1.26086956521739,0.00791979105232117,0,0.042583392476934,0.0220835160294056,838860799.928571,1.94591014905531,7,0.159628437108055,0.165254237288136,0.448774149816843
"Fawn-breasted Brilliant",10,0.178571428571429,2.16690115440115,0.116690115440115,0.391304347826087,0.836363636363636,0.836363636363636,0.289199522192488,0.216690115440115,1.17391304347826,0.0477688623684372,0.00268096514745308,0.0447125621007807,0.0273132134709654,1677721580,2.30258509299405,10,0.228040624440078,0.283898305084746,0.216255326496182
"Gorgeted Sunangel",15,0.267857142857143,2.75321067821068,0.116880711880712,0.173913043478261,0.745454545454545,0.745454545454545,0.222928171609085,0.183547378547379,1.17391304347826,0.119679647071568,0.0134048257372654,0.0447125621007807,0.0298047011938042,6710886140.83334,2.70805020110221,15,0.342060936660118,0.419491525423729,0.12279606299733
"Green-crowned Brilliant",6,0.107142857142857,0.930357142857143,-0.0116071428571428,0.521739130434783,0.909090909090909,0.909090909090909,0.389249472080761,0.155059523809524,1.1304347826087,0.0423484146375713,0,0.045777146912704,0.0248949115754006,838860795.708333,1.79175946922805,6,0.136824374664047,0.194915254237288,0.167136919330108
"Green-fronted Lancebill",3,0.0535714285714286,0.490909090909091,-0.16969696969697,0.695652173913043,0.963636363636364,0.963636363636364,0.566755786218474,0.163636363636364,1.52173913043478,0,0,0.0361958836053939,0.0186557040364597,419430397.854167,1.09861228866811,3,0.0684121873320235,0.0889830508474576,0.237650207999952
