"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.186755952380952,0.186755952380952
"web asymmetry",-0.4,-0.4
"links per species",3.1375,3.1375
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.142857142857143,0.142857142857143
"nestedness",12.3999328738943,12.4329340457699
"weighted nestedness",0.554566501934491,0.554968818421403
"weighted NODF",43.6493144328826,43.6493144328826
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.128938124314022,0.128938124314022
"linkage density",12.6852589641434,12.6852589641434
"weighted connectance",0.158565737051793,0.158565737051793
"Fisher alpha",214748345343.032,214748345343.032
"Shannon diversity",5.52545293913178,5.52545293913178
"interaction evenness",0.767061207780092,0.767061207780092
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",24,56
"mean.number.of.shared.partners.HL",2.56521739130435,1.44480519480519
"cluster.coefficient.HL",0.334447922595333,0.276726427622842
"weighted.cluster.coefficient.HL",0.729051360768639,0.865062437334792
"niche.overlap.HL",0.198365980809599,0.274296807000304
"togetherness.HL",0.0944851648249949,0.147249278499278
"C.score.HL",0.481821964899001,0.474467238118309
"V.ratio.HL",11.4351618085839,3.24436130411545
"discrepancy.HL",106,108
"extinction.slope.HL",5.52511371335325,3.42662547534365
"robustness.HL",0.816852070779648,0.759258455652514
"functional.complementarity.HL",70.039956415713,89.3412606930752
"partner.diversity.HL",2.73037423135649,1.72851282782821
"generality.HL",18.7290836653386,6.64143426294821
"Raw.Camera",1241,1241
"Raw.Transect",767,767
