"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",5,0.238095238095238,0.306822066822067,-0.138635586635587,0.418604651162791,0.8,0.4,0.8,1,1.06976744186047,0.0366271083511686,0.000370749963119114,0.0245271867612293,0.017934068888912,838860790,1.6094379124341,5,0.426724137931034,0.317967127010757,0.0790145031394598
"Bomarea multiflora",4,0.19047619047619,0.26025641025641,-0.184935897435897,0.558139534883721,0.85,0.460977222864644,0.85,1,1.18604651162791,0.00374709645376886,0,0.0230496453900709,0.0153309983756849,6710885302.00018,1.38629436111989,4,0.301724137931034,0.254373701608606,0.142066247431947
"Bomarea pardina",5,0.238095238095238,0.391005291005291,-0.121798941798942,0.441860465116279,0.8,0.4,0.8,1,1.13953488372093,0.0163669775193559,0,0.0236406619385343,0.0174705374704439,838860790,1.6094379124341,5,0.379310344827586,0.317967127010757,0.137879934828957
"Burmeistera multiflora",1,0.0476190476190476,0.04,-0.96,0.906976744186046,1,1,1,1,1.44186046511628,0,0,0.0197990543735225,0.0076119924149547,1677720700.50048,0,1,0.107758620689655,0.0635934254021514,0.0536051091233214
"Centropogon solanifolius",10,0.476190476190476,0.852650312650313,-0.0147349687349687,0.0465116279069767,0.55,0.234520787991171,0.55,1,1.06976744186047,0.0269840011833089,0.0861278104470669,0.0245271867612293,0.0238861946996665,1677721580,2.30258509299405,10,0.649137931034483,0.635934254021514,0.068398084973019
"Columnea ciliata",6,0.285714285714286,0.299414659414659,-0.11676422343089,0.27906976744186,0.75,0.353553390593274,0.75,1,1.06976744186047,0.0281175850385889,0.0175992413478146,0.0245271867612293,0.021778277504429,838860795.708333,1.79175946922805,6,0.568965517241379,0.381560552412909,0.00776748805961618
"Columnea mastersonii",4,0.19047619047619,0.222377622377622,-0.194405594405594,0.581395348837209,0.85,0.460977222864644,0.85,1,1.16279069767442,0.0165573606277931,0.000564859891453728,0.0233451536643026,0.0169088941839742,6710885302.00018,1.38629436111989,4,0.344827586206897,0.254373701608606,0.0954653390051896
"Columnea picta",4,0.19047619047619,0.216923076923077,-0.195769230769231,0.604651162790698,0.85,0.460977222864644,0.85,1,1.13953488372093,0.0185607117144781,0.000597858579270613,0.0236406619385343,0.0168035175663368,6710885302.00018,1.38629436111989,4,0.357758620689655,0.254373701608606,0.0856372588876212
"Columnea strigosa",3,0.142857142857143,0.11037037037037,-0.296543209876543,0.790697674418605,0.9,0.547722557505166,0.9,1,1.11627906976744,0.00978225889497129,0.000248460708268307,0.023936170212766,0.0158545466208096,419430397.854167,1.09861228866811,3,0.353448275862069,0.190780276206454,0
"Drymonia collegarum",4,0.19047619047619,0.253227513227513,-0.186693121693122,0.627906976744186,0.85,0.460977222864644,0.85,1,1.11627906976744,0.00978225889497129,0.000248460708268307,0.023936170212766,0.0170570012863156,6710885302.00018,1.38629436111989,4,0.383620689655172,0.254373701608606,0.0880400156780293
