"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",7,0.233333333333333,3.19978793136688,0.314255418766697,0.266666666666667,0.937241379310345,0.793103448275862,0.428816195999102,0.471564618037182,1.4,0.118977295559574,0.212765957446809,0.0715705765407555,0.0337571264820942,NA,1.72176117406321,5.59437245691038,0.272981773802745,0.253602585592918,0.493658422870747
"Brown Inca",9,0.3,3.00950599108494,0.223278443453882,0.0666666666666667,0.964660526879418,0.724137931034483,0.511262816213425,0.419815207036712,1.26666666666667,0.148342374924653,0.139817629179331,0.0775347912524851,0.0421015413922365,NA,1.65027741331301,5.20842451308278,0.254149142419498,0.362219880574968,0.416905240063292
"Buff-tailed Coronet",1,0.0333333333333333,0.8,-0.2,0.8,1,1,1,0.8,1.93333333333333,0,0,0.0516898608349901,0.0395706471500028,NA,0,1,0.0487957811006214,0.0393543389720397,0.904941287871828
"Collared Inca",4,0.133333333333333,1.0877331002331,0.0219332750582751,0.466666666666667,0.98735632183908,0.896551724137931,0.749375510679805,0.638465328709231,1.6,0.0573839662447257,0.0182370820668693,0.0646123260437376,0.0339402776960942,NA,0.789025580862461,2.20125044032529,0.107411734633759,0.196759099846564,0.649891079639825
"Green-crowned Woodnymph",4,0.133333333333333,2.17763157894737,0.294407894736842,0.4,0.988275862068966,0.896551724137931,0.755887571769215,0.654556166535742,1.53333333333333,0.0653405666063894,0,0.0656063618290258,0.0290031535751285,NA,0.8008047817098,2.22733272403156,0.108684440040095,0.134795650194096,0.750934648464187
"Fawn-breasted Brilliant",3,0.1,0.803846153846154,-0.0653846153846154,0.666666666666667,0.963054187192118,0.931034482758621,0.600306070880776,0.241511936339523,1.6,0.0137633112316657,0,0.062624254473161,0.0200505287958687,NA,1.02178399872011,2.77814655555543,0.135561831190328,0.157417355888159,0.139015190419955
"Gorgeted Sunangel",5,0.166666666666667,1.39628879892038,0.0792577597840756,0.333333333333333,0.931034482758621,0.862068965517241,0.460509463005096,0.400680386864597,1.33333333333333,0.108579465541491,0.0060790273556231,0.0745526838966203,0.0251886014800288,NA,1.5103945592108,4.52851721004417,0.220972534491712,0.263936433372479,0.319530844573725
"Green-fronted Lancebill",1,0.0333333333333333,0.28125,-0.71875,0.866666666666667,1,1,1,0.28125,2,0,0,0.0487077534791252,0.0248361944008628,NA,0,1,0.0487957811006214,0.0671647385122811,0.358418338441622
"Hoary Puffleg",1,0.0333333333333333,0.0555555555555556,-0.944444444444444,0.933333333333333,1,1,1,0.0555555555555556,1.93333333333333,0,0,0.0516898608349901,0.00556276138253051,NA,0,1,0.0487957811006214,0.0377801654131581,0.307593768613513
"Purple-bibbed Whitetip",1,0.0333333333333333,0.0178571428571429,-0.982142857142857,1,1,1,1,0.0178571428571429,2.26666666666667,0,0,0.0447316103379722,0.00397387154417421,NA,0,1,0.0487957811006214,0.0839559231403513,0.107630888321901
"Speckled Hummingbird",3,0.1,0.932748538011696,-0.0224171539961014,0.6,0.967980295566503,0.931034482758621,0.608230759910233,0.325752653238033,1.53333333333333,0.0236286919831224,0,0.0656063618290258,0.0308061827380414,NA,1.01326188414422,2.75457146977252,0.134411466465037,0.0934009644936408,0.47057688031799
"Stripe-throated Hermit",9,0.3,4.53242955874535,0.392492173193928,0.133333333333333,0.907881773399015,0.724137931034483,0.360222857352285,0.616386577220081,1.4,0.134980912196102,0.0547112462006079,0.0715705765407555,0.0272023846426089,NA,1.98102555185996,7.25017460380445,0.353777932908526,0.261829660051041,0.606063534728926
"Tawny-bellied Hermit",8,0.266666666666667,5.96313131313131,0.620391414141414,0.2,0.893646583301756,0.758620689655172,0.363456184360636,0.788119309688816,1.66666666666667,0.0419831223628692,0.127659574468085,0.0616302186878728,0.0446577033582418,NA,1.93522317389591,6.9255894937099,0.337939548927832,0.235252366946815,0.781932495154073
"Violet-tailed Sylph",10,0.333333333333333,4.3129414080072,0.33129414080072,0,0.916073709177157,0.689655172413793,0.420529677943405,0.553225857178801,1.2,0.26585292344786,0.358662613981763,0.0805168986083499,0.0422847010252116,NA,1.81493567924195,6.140681191473,0.29963933522782,0.397019973604767,0.507386295802382
"Wedge-billed Hummingbird",1,0.0333333333333333,0.454545454545455,-0.545454545454545,0.733333333333333,1,1,1,0.454545454545454,2.13333333333333,0,0,0.0487077534791252,0.0384494882772694,NA,0,1,0.0487957811006214,0.115439394317983,0.633969787372397
"White-whiskered Hermit",3,0.1,0.974747474747475,-0.00841750841750842,0.533333333333333,0.980295566502463,0.931034482758621,0.700933709401807,0.3955463728191,1.73333333333333,0.0211673699015471,0.0820668693009119,0.058648111332008,0.0371069829756599,NA,0.79248910526737,2.20888774330454,0.107784402798134,0.184403188326129,0.525664688832805
