"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.154166666666667,0.154166666666667
"web asymmetry",-0.304347826086957,-0.304347826086957
"links per species",1.60869565217391,1.60869565217391
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.133333333333333,0.133333333333333
"nestedness",23.0717696707109,23.0465666044566
"weighted nestedness",0.387715505977921,0.390037380968756
"weighted NODF",27.2217217217217,27.2217217217217
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.198286704130118,0.198286704130118
"linkage density",5.32432432432432,5.32432432432432
"weighted connectance",0.115746180963572,0.115746180963572
"Fisher alpha",13421772664.027,13421772664.027
"Shannon diversity",4.30406509320417,4.30406509320417
"interaction evenness",0.697151637709627,0.697151637709627
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",16,30
"mean.number.of.shared.partners.HL",0.816666666666667,0.510344827586207
"cluster.coefficient.HL",0.233333333333333,0.228040540540541
"weighted.cluster.coefficient.HL",0.277244688142563,0.512335526315789
"niche.overlap.HL",0.141129894357449,0.176940199009165
"togetherness.HL",0.0713734567901235,0.0853128991060026
"C.score.HL",0.690471873162845,0.668861977741288
"V.ratio.HL",3.07658643326039,1.54171562867215
"discrepancy.HL",43,41
"extinction.slope.HL",3.20664737588174,1.99858910786865
"robustness.HL",0.746478628521188,0.661938848062606
"functional.complementarity.HL",37.8741719527817,41.050906592145
"partner.diversity.HL",1.78765561560908,1.11746776434581
"generality.HL",7,3.64864864864865
"Raw.Camera",251,251
"Raw.Transect",66,66
