"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",2,0.0952380952380952,0.257575757575758,-0.371212121212121,0.696969696969697,0.95,0.689202437604511,0.95,1,1.60606060606061,0.0103106074233975,0,0.025219298245614,0.0185884636329363,2941562359.8741,0.693147180559945,2,0.12781954887218,0.126940496600824,0.271690249724212
"Bomarea multiflora",3,0.142857142857143,0.380952380952381,-0.206349206349206,0.515151515151515,0.9,0.547722557505166,0.9,1,1.27272727272727,0.0149637478522714,0,0.03125,0.0222471966443289,419430397.854167,1.09861228866811,3,0.24812030075188,0.190410744901236,0.195379903978486
"Bomarea pardina",2,0.0952380952380952,0.416666666666667,-0.291666666666667,0.727272727272727,0.95,0.689202437604511,0.95,1,1.66666666666667,0,0,0.0241228070175439,0.0180893563246504,2941562359.8741,0.693147180559945,2,0.112781954887218,0.126940496600824,0.377058028912144
"Centropogon solanifolius",5,0.238095238095238,0.671861471861472,-0.0656277056277056,0.151515151515152,0.8,0.4,0.8,1,1.21212121212121,0.0199348216306847,0.000752303930788038,0.0323464912280702,0.027594676947951,838860790,1.6094379124341,5,0.398496240601504,0.317351241502059,0.161909730036249
"Columnea ciliata",5,0.238095238095238,0.407215007215007,-0.118556998556999,0.181818181818182,0.8,0.4,0.8,1,1.15151515151515,0.0394909790308788,0.0098175662967839,0.0334429824561404,0.0290260334903192,838860790,1.6094379124341,5,0.503759398496241,0.317351241502059,0.0220729008231425
"Columnea mastersonii",4,0.19047619047619,0.316305916305916,-0.170923520923521,0.272727272727273,0.85,0.460977222864644,0.85,1,1.24242424242424,0.0230520932180048,0.0019183750235095,0.0321637426900585,0.0273295559524543,6710885302.00018,1.38629436111989,4,0.421052631578947,0.253880993201647,0.0270495477889015
"Columnea picta",3,0.142857142857143,0.24963924963925,-0.25012025012025,0.545454545454545,0.9,0.547722557505166,0.9,1,1.36363636363636,0.00875564292995486,0,0.0299707602339181,0.0232366340262868,419430397.854167,1.09861228866811,3,0.308270676691729,0.190410744901236,0.0725752356770096
"Drymonia collegarum",3,0.142857142857143,0.380952380952381,-0.206349206349206,0.575757575757576,0.9,0.547722557505166,0.9,1,1.27272727272727,0.0119577355546055,0,0.03125,0.0229553566809787,419430397.854167,1.09861228866811,3,0.278195488721804,0.190410744901236,0.160456347587949
"Drymonia tenuis",3,0.142857142857143,0.240909090909091,-0.253030303030303,0.606060606060606,0.9,0.547722557505166,0.9,1,1.27272727272727,0.0183973963378627,0,0.03125,0.0237210669802748,419430397.854167,1.09861228866811,3,0.285714285714286,0.190410744901236,0.0784981840037961
"Drymonia teuscheri",4,0.19047619047619,0.340548340548341,-0.164862914862915,0.303030303030303,0.85,0.460977222864644,0.85,1,1.21212121212121,0.0257316496752191,0.00112845589618206,0.0323464912280702,0.0253036437246964,6710885302.00018,1.38629436111989,4,0.390977443609023,0.253880993201647,0.0562121246697539
"Fuchsia macrostigma",1,0.0476190476190476,0.0666666666666667,-0.933333333333333,0.848484848484849,1,1,1,1,1.60606060606061,0,0,0.0255847953216374,0.013417694726657,1677720700.50048,0,1,0.112781954887218,0.0634702483004119,0.110517246466022
"Glossoloma oblongicalyx",3,0.142857142857143,0.447619047619048,-0.184126984126984,0.636363636363636,0.9,0.547722557505166,0.9,1,1.21212121212121,0.0176046848968782,0,0.0323464912280702,0.0207379194317226,419430397.854167,1.09861228866811,3,0.293233082706767,0.190410744901236,0.168291089124329
"Glossoloma purpureum",4,0.19047619047619,0.316305916305916,-0.170923520923521,0.333333333333333,0.85,0.460977222864644,0.85,1,1.24242424242424,0.0230520932180048,0.00304683091969156,0.0321637426900585,0.0273295559524543,6710885302.00018,1.38629436111989,4,0.421052631578947,0.253880993201647,0.0270495477889015
"Guzmania jaramilloi",2,0.0952380952380952,0.214285714285714,-0.392857142857143,0.757575757575758,0.95,0.689202437604511,0.95,1,1.36363636363636,0.0234570475396163,0,0.0299707602339181,0.0191123266431217,2941562359.8741,0.693147180559945,2,0.203007518796992,0.126940496600824,0.15928364392826
