"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-crowned Brilliant","Purple-bibbed Whitetip","Rufous-tailed Hummingbird","Sparkling Violetear","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Tyrian Metaltail","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Besleria solanoides",2.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,0,0
"Bomarea multiflora",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Burmeistera cylindrocarpa",0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Burmeistera multiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Centropogon solanifolius",0,0,0,0.166666666666667,0,0,0,0.666666666666667,0,0,0,0,0,2,0,0,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0,0
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0
"Columnea strigosa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Drymonia collegarum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia tenuis",0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,2,0,0
"Drymonia teuscheri",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Faramea calyptrata",0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0
"Gasteranthus pansamalanus",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Glossoloma oblongicalyx",0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
"Heliconia griggsiana",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Kohleria affinis",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Macleania bullata",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania recumbens",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania stricta",0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Meriania tomentosa",0,0,11.5,2.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
"Mezobromelia capituligera",0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea acetosoides",0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
"Palicourea demissa",1.83333333333333,0,0.0833333333333333,0,0.416666666666667,0,0,0,0.0833333333333333,0.333333333333333,0,0,0.0833333333333333,0.0833333333333333,0,0.75,0.0833333333333333,0.0833333333333333
"Palicourea lineata",0.166666666666667,0,0.5,0,0,0,4.5,0,0,0,0,8.5,0,0,0,0.166666666666667,0,0
"Pitcairnia sodiroi",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Psammisia sodiroi",0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,2.5,0,0
"Psammisia ulbrichiana",1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"Renealmia sessilifolia",0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Sarcopera anomala",3,0,0,0,0,0,0,0,1.5,0,1,0,0,0,0,1.5,0,0
"Tillandsia complanata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
