"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",2,0.222222222222222,0.75,-0.125,0.1,0.875,0.661437827766148,0.875,1,1.33333333333333,0.470588235294118,0.470588235294118,0.171428571428571,0.113636363636364,2941562359.8741,0.693147180559945,2,0.375,0.258310907398714,0.16317116304661
"Centropogon solanifolius",1,0.111111111111111,1,0,0.4,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0625,0.129155453699357,1
"Gasteranthus quitensis",1,0.111111111111111,0.333333333333333,-0.666666666666667,0.5,1,1,1,1,2.16666666666667,0,0,0.122857142857143,0.0699300699300699,1677720700.50048,0,1,0.1875,0.129155453699357,0.207518749639422
"Glossoloma purpureum",1,0.111111111111111,0.5,-0.5,0.6,1,1,1,1,2.66666666666667,0,0,0.0942857142857143,0.0568181818181818,1677720700.50048,0,1,0.125,0.129155453699357,0.5
"Guzmania squarrosa",2,0.222222222222222,0.583333333333333,-0.208333333333333,0.2,0.875,0.661437827766148,0.875,1,1.5,0.117647058823529,0.117647058823529,0.165714285714286,0.106951871657754,2941562359.8741,0.693147180559945,2,0.4375,0.258310907398714,0
"Palicourea demissa",2,0.222222222222222,1,0,0.3,0.875,0.661437827766148,0.875,1,1.83333333333333,0.294117647058824,0.294117647058824,0.131428571428571,0.0826446280991735,2941562359.8741,0.693147180559945,2,0.25,0.258310907398714,0.44211410869774
"Psammisia ecuadorensis",1,0.111111111111111,1,0,0.7,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0625,0.129155453699357,1
"Psammisia sodiroi",3,0.333333333333333,1.58333333333333,0.194444444444445,0,0.75,0.5,0.75,1,1.5,0.117647058823529,0.117647058823529,0.165714285714286,0.106951871657754,419430397.854167,1.09861228866811,3,0.5,0.387466361098071,0.218104291985531
"Psammisia ulbrichiana",1,0.111111111111111,0.25,-0.75,0.8,1,1,1,1,1.66666666666667,0,0,0.148571428571429,0.0909090909090909,1677720700.50048,0,1,0.25,0.129155453699357,0
"Renealmia sessilifolia",1,0.111111111111111,1,0,0.9,1,1,1,1,NA,0,NA,0,NA,1677720700.50048,0,1,0.0625,0.129155453699357,1
"Sarcopera anomala",1,0.111111111111111,1,0,1,1,1,1,1,NA,0,NA,0,NA,1677720700.50048,0,1,0.0625,0.129155453699357,1
