"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",2,0.166666666666667,0.833333333333333,-0.0833333333333333,0.363636363636364,0.909090909090909,0.909090909090909,0.674199862463242,0.416666666666667,2,0.153846153846154,0.135135135135135,0.0804123711340206,0.037037037037037,2941562359.8741,0.693147180559945,2,0.183835366558428,0.172413793103448,0.353759374819711
"Brown Inca",2,0.166666666666667,1.33333333333333,0.166666666666667,0.454545454545455,0.909090909090909,0.909090909090909,0.674199862463242,0.666666666666667,2.27272727272727,0,0,0.0711340206185567,0.033816425120773,2941562359.8741,0.693147180559945,2,0.183835366558428,0.137931034482759,0.603759374819711
"Fawn-breasted Brilliant",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.818181818181818,1,1,1,0.333333333333333,2.27272727272727,0,0,0.0711340206185567,0.033816425120773,1677720700.50048,0,1,0.0919176832792138,0.103448275862069,0.207518749639422
"Gorgeted Sunangel",2,0.166666666666667,0.583333333333333,-0.208333333333333,0.545454545454545,0.909090909090909,0.909090909090909,0.674199862463242,0.291666666666667,1.81818181818182,0,0,0.0845360824742268,0.0486111111111111,2941562359.8741,0.693147180559945,2,0.183835366558428,0.241379310344828,0.103759374819711
"Green-crowned Woodnymph",2,0.166666666666667,1.5,0.25,0.636363636363636,0.909090909090909,0.909090909090909,0.674199862463242,0.75,2.90909090909091,0,0,0.054639175257732,0.025089605734767,2941562359.8741,0.693147180559945,2,0.183835366558428,0.103448275862069,0.75
"Green-fronted Lancebill",1,0.0833333333333333,0.5,-0.5,0.909090909090909,1,1,1,0.5,2.36363636363636,0,0,0.0649484536082474,0.0324074074074074,1677720700.50048,0,1,0.0919176832792138,0.0689655172413793,0.5
"Rufous-tailed Hummingbird",4,0.333333333333333,1.16666666666667,0.0416666666666667,0.0909090909090909,0.727272727272727,0.727272727272727,0.426401432711221,0.291666666666667,1.54545454545455,0.0948717948717949,0.236486486486486,0.103092783505155,0.0622222222222222,6710885302.00018,1.38629436111989,4,0.367670733116855,0.482758620689655,0
"Speckled Hummingbird",3,0.25,0.916666666666667,-0.0277777777777778,0.272727272727273,0.818181818181818,0.818181818181818,0.522232967867094,0.305555555555556,1.54545454545455,0.197435897435897,0.182432432432432,0.0989690721649484,0.053639846743295,419430397.854167,1.09861228866811,3,0.275753049837641,0.344827586206897,0.0743133905062482
"Stripe-throated Hermit",2,0.166666666666667,0.583333333333333,-0.208333333333333,0.727272727272727,0.909090909090909,0.909090909090909,0.674199862463242,0.291666666666667,1.81818181818182,0.0897435897435897,0.0405405405405405,0.0927835051546392,0.0444444444444444,2941562359.8741,0.693147180559945,2,0.183835366558428,0.241379310344828,0.103759374819711
"Tawny-bellied Hermit",4,0.333333333333333,2.08333333333333,0.270833333333333,0.181818181818182,0.727272727272727,0.727272727272727,0.426401432711221,0.520833333333333,1.72727272727273,0.0512820512820513,0.0540540540540541,0.0907216494845361,0.053639846743295,6710885302.00018,1.38629436111989,4,0.367670733116855,0.344827586206897,0.360528527174435
"Violet-tailed Sylph",5,0.416666666666667,1.91666666666667,0.183333333333333,0,0.636363636363636,0.636363636363636,0.356753034006338,0.383333333333333,1.45454545454545,0.412820512820513,0.351351351351351,0.109278350515464,0.0555555555555556,838860790,1.6094379124341,5,0.459588416396069,0.482758620689655,0.181037449119648
"White-whiskered Hermit",1,0.0833333333333333,0.25,-0.75,1,1,1,1,0.25,2.09090909090909,0,0,0.0783505154639175,0.0388888888888889,1677720700.50048,0,1,0.0919176832792138,0.137931034482759,0
