"","Andean Emerald","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Brilliant","Green-crowned Woodnymph","Sparkling Violetear","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Besleria solanoides",0,1,0,0,0,0,0,0,1,0,0,1,0,0
"Centropogon solanifolius",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Fuchsia macrostigma",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Heliconia griggsiana",1,0,1,0,0,1,0,0,0,1,1,0,1,1
"Heliconia virginalis",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Meriania tomentosa",0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Renealmia sessilifolia",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Sarcopera anomala",0,1,0,0,0,0,0,1,0,0,0,0,0,0
