"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Andean Emerald",1,0.05,0.142857142857143,-0.857142857142857,0.8125,1,1,1,0.142857142857143,1.75,0,0,0.0583941605839416,0.0287488908606921,1677720700.50048,0,1,0.0588938161318547,0.132075471698113,0
"Booted Racket-tail",3,0.15,1.25,0.0833333333333334,0.3125,0.894736842105263,0.894736842105263,0.54611868127275,0.416666666666667,1.8125,0.153968253968254,0.115372424722662,0.0556569343065693,0.0285714285714286,419430397.854167,1.09861228866811,3,0.176681448395564,0.150943396226415,0.481478779637005
"Brown Inca",6,0.3,2.50952380952381,0.251587301587302,0.125,0.736842105263158,0.736842105263158,0.350438322025231,0.418253968253968,1.375,0.162222222222222,0.059904912836767,0.072992700729927,0.0451567944250871,838860795.708333,1.79175946922805,6,0.353362896791128,0.39622641509434,0.27824550252609
"Buff-tailed Coronet",1,0.05,0.5,-0.5,0.875,1,1,1,0.5,2.625,0,0,0.0369525547445256,0.0194477791116447,1677720700.50048,0,1,0.0588938161318547,0.0377358490566038,0.643792812891978
"Collared Inca",3,0.15,1.2,0.0666666666666667,0.375,0.894736842105263,0.894736842105263,0.54611868127275,0.4,1.6875,0.15005291005291,0.114104595879556,0.0593065693430657,0.0312741312741313,419430397.854167,1.09861228866811,3,0.176681448395564,0.169811320754717,0.439747142479473
"Gorgeted Sunangel",2,0.1,0.533333333333333,-0.233333333333333,0.5,0.947368421052632,0.947368421052632,0.688247201611685,0.266666666666667,1.6875,0.0172486772486772,0,0.0593065693430657,0.0308571428571429,2941562359.8741,0.693147180559945,2,0.117787632263709,0.150943396226415,0.275470954453711
"Green-crowned Brilliant",2,0.1,0.30952380952381,-0.345238095238095,0.5625,0.947368421052632,0.947368421052632,0.688247201611685,0.154761904761905,1.625,0.0101587301587302,0,0.0638686131386861,0.0365894974590627,2941562359.8741,0.693147180559945,2,0.117787632263709,0.245283018867925,0
"Green-crowned Woodnymph",2,0.1,0.666666666666667,-0.166666666666667,0.625,0.947368421052632,0.947368421052632,0.688247201611685,0.333333333333333,1.8125,0,0,0.0556569343065693,0.0307546274323683,2941562359.8741,0.693147180559945,2,0.117787632263709,0.150943396226415,0.335172205260543
"Green-fronted Lancebill",1,0.05,0.2,-0.8,0.9375,1,1,1,0.2,1.9375,0,0,0.052463503649635,0.027715996578272,1677720700.50048,0,1,0.0588938161318547,0.0943396226415094,0.172912524653084
"Rufous-tailed Hummingbird",2,0.1,0.583333333333333,-0.208333333333333,0.6875,0.947368421052632,0.947368421052632,0.688247201611685,0.291666666666667,1.8125,0.0103703703703704,0,0.0538321167883212,0.0314868804664723,2941562359.8741,0.693147180559945,2,0.117787632263709,0.132075471698113,0.335172205260543
"Sparkling Violetear",1,0.05,0.5,-0.5,1,1,1,1,0.5,2.75,0,0,0.0355839416058394,0.0183673469387755,1677720700.50048,0,1,0.0588938161318547,0.0377358490566038,0.643792812891978
"Speckled Hummingbird",5,0.25,2.08333333333333,0.216666666666667,0.1875,0.789473684210526,0.789473684210526,0.397359707119513,0.416666666666667,1.625,0.080952380952381,0.0684627575277338,0.0602189781021898,0.0373271889400922,838860790,1.6094379124341,5,0.294469080659274,0.245283018867925,0.417219110400888
"Stripe-throated Hermit",3,0.15,1.14285714285714,0.0476190476190476,0.4375,0.894736842105263,0.894736842105263,0.54611868127275,0.380952380952381,1.625,0.0645502645502646,0.0532488114104596,0.062043795620438,0.0323676323676324,419430397.854167,1.09861228866811,3,0.176681448395564,0.207547169811321,0.37682111477416
"Tawny-bellied Hermit",7,0.35,2.84285714285714,0.263265306122449,0.0625,0.684210526315789,0.684210526315789,0.312640945658523,0.406122448979592,1.3125,0.186666666666667,0.264976228209192,0.0757299270072993,0.0479644707623982,838860799.928571,1.94591014905531,7,0.412256712922983,0.490566037735849,0.219081889502157
"Violet-tailed Sylph",8,0.4,3.91666666666667,0.364583333333333,0,0.631578947368421,0.631578947368421,0.280975743474508,0.489583333333333,1.4375,0.143492063492063,0.234548335974643,0.0702554744525548,0.0428571428571429,13421770604.0004,2.07944154167984,8,0.471150529054838,0.433962264150943,0.331581802960116
"Wedge-billed Hummingbird",2,0.1,0.30952380952381,-0.345238095238095,0.75,0.947368421052632,0.947368421052632,0.688247201611685,0.154761904761905,1.625,0.0101587301587302,0,0.0638686131386861,0.0365894974590627,2941562359.8741,0.693147180559945,2,0.117787632263709,0.245283018867925,0
"White-whiskered Hermit",4,0.2,1.30952380952381,0.0773809523809524,0.25,0.842105263157895,0.842105263157895,0.458831467741124,0.327380952380952,1.625,0.0101587301587302,0.0893819334389857,0.0638686131386861,0.0404242046163444,6710885302.00018,1.38629436111989,4,0.235575264527419,0.320754716981132,0.239022998818051
