"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",5,0.2,1.125,0.025,0.333333333333333,0.833333333333333,0.833333333333333,0.408248290463863,0.225,1.4,0.00968992248062015,0.00683371298405467,0.0609137055837563,0.0508905852417303,838860790,1.6094379124341,5,0.243756957455801,0.304878048780488,0.176395418098874
"Brown Inca",11,0.44,4.30119047619048,0.300108225108225,0.0666666666666667,0.583333333333333,0.583333333333333,0.230283093235919,0.391017316017316,1.06666666666667,0.155094130675526,0.193621867881549,0.0736040609137056,0.0664652567975831,13421771060.0457,2.39789527279837,11,0.536265306402763,0.566518847006652,0.232774475825082
"Collared Inca",4,0.16,1.17619047619048,0.044047619047619,0.533333333333333,0.875,0.875,0.467707173346743,0.294047619047619,1.46666666666667,0.0209856035437431,0,0.0583756345177665,0.0464232960540198,6710885302.00018,1.38629436111989,4,0.195005565964641,0.207317073170732,0.297253457010635
"Fawn-breasted Brilliant",2,0.08,0.30952380952381,-0.345238095238095,0.733333333333333,0.958333333333333,0.958333333333333,0.692218655243173,0.154761904761905,1.4,0.0498062015503876,0.00455580865603645,0.0609137055837563,0.0404486118771833,2941562359.8741,0.693147180559945,2,0.0975027829823205,0.158536585365854,0.0714675622291383
"Gorgeted Sunangel",3,0.12,0.491666666666667,-0.169444444444444,0.666666666666667,0.916666666666667,0.916666666666667,0.552770798392567,0.163888888888889,1.26666666666667,0.107198228128461,0.00683371298405467,0.065989847715736,0.0469684030742955,419430397.854167,1.09861228866811,3,0.146254174473481,0.231707317073171,0.0578418096833037
"Green-crowned Brilliant",2,0.08,0.666666666666667,-0.166666666666667,0.8,0.958333333333333,0.958333333333333,0.692218655243173,0.333333333333333,1.6,0.00852713178294574,0,0.0532994923857868,0.0274006725619629,2941562359.8741,0.693147180559945,2,0.0975027829823205,0.0975609756097561,0.382685827052746
"Green-crowned Woodnymph",4,0.16,1.04166666666667,0.0104166666666667,0.6,0.875,0.875,0.467707173346743,0.260416666666667,1.33333333333333,0.0441860465116279,0.0136674259681093,0.0634517766497462,0.0424300867888139,6710885302.00018,1.38629436111989,4,0.195005565964641,0.24390243902439,0.217933535397721
"Green-fronted Lancebill",2,0.08,0.366666666666667,-0.316666666666667,0.866666666666667,0.958333333333333,0.958333333333333,0.692218655243173,0.183333333333333,1.53333333333333,0.0176633444075305,0,0.0558375634517767,0.038944946008143,2941562359.8741,0.693147180559945,2,0.0975027829823205,0.134146341463415,0.155055845309011
"Hoary Puffleg",1,0.04,0.2,-0.8,1,1,1,1,0.2,1.73333333333333,0,0,0.0482233502538071,0.0256111757857974,1677720700.50048,0,1,0.0487513914911603,0.0609756097560976,0.226023968370879
"Rufous-tailed Hummingbird",6,0.24,1.35833333333333,0.0597222222222222,0.266666666666667,0.791666666666667,0.791666666666667,0.363241578628389,0.226388888888889,1.2,0.122093023255814,0.020501138952164,0.0685279187817259,0.056832859726169,838860795.708333,1.79175946922805,6,0.292508348946962,0.365853658536585,0.156471930604139
"Speckled Hummingbird",5,0.2,1.71785714285714,0.143571428571429,0.4,0.833333333333333,0.833333333333333,0.408248290463863,0.343571428571429,1.2,0.109551495016611,0.00683371298405467,0.0685279187817259,0.0530376084860174,838860790,1.6094379124341,5,0.243756957455801,0.304878048780488,0.253126238264634
"Stripe-throated Hermit",8,0.32,2.625,0.203125,0.133333333333333,0.708333333333333,0.708333333333333,0.297559517855952,0.328125,1.33333333333333,0.0254152823920266,0.10250569476082,0.0634517766497462,0.0554295792391031,13421770604.0004,2.07944154167984,8,0.390011131929282,0.426829268292683,0.240830687015481
"Tawny-bellied Hermit",8,0.32,2.80952380952381,0.226190476190476,0.2,0.708333333333333,0.708333333333333,0.297559517855952,0.351190476190476,1.26666666666667,0.0533499446290144,0,0.065989847715736,0.0574562548968399,13421770604.0004,2.07944154167984,8,0.390011131929282,0.390243902439024,0.291445112691485
"Violet-tailed Sylph",14,0.56,5.08452380952381,0.291751700680272,0,0.458333333333333,0.458333333333333,0.180936716113936,0.363180272108844,1,0.244241417497231,0.644646924829157,0.0761421319796954,0.0720602685882738,1677721599.85714,2.63905732961526,14,0.682519480876243,0.651567944250871,0.171582099899468
"Wedge-billed Hummingbird",2,0.08,0.476190476190476,-0.261904761904762,0.933333333333333,0.958333333333333,0.958333333333333,0.692218655243173,0.238095238095238,1.46666666666667,0.0211240310077519,0,0.0583756345177665,0.0281365903568231,2941562359.8741,0.693147180559945,2,0.0975027829823205,0.121951219512195,0.243662996023236
"White-whiskered Hermit",5,0.2,1.25,0.05,0.466666666666667,0.833333333333333,0.833333333333333,0.408248290463863,0.25,1.46666666666667,0.0110741971207087,0,0.0583756345177665,0.0452209660842754,838860790,1.6094379124341,5,0.243756957455801,0.268292682926829,0.237600267016428
