"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",1,0.0625,0.0714285714285714,-0.928571428571429,0.75,1,1,1,1,1.45833333333333,0,0,0.0391949152542373,0.0202595260998449,1677720700.50048,0,1,0.170731707317073,0.0772927041913313,0
"Bomarea pardina",2,0.125,0.340909090909091,-0.329545454545455,0.625,0.933333333333333,0.683130051063973,0.933333333333333,1,1.54166666666667,0.00173611111111111,0,0.0370762711864407,0.0244006242020145,2941562359.8741,0.693147180559945,2,0.182926829268293,0.154585408382663,0.248714464355901
"Burmeistera multiflora",1,0.0625,0.0714285714285714,-0.928571428571429,0.791666666666667,1,1,1,1,1.45833333333333,0,0,0.0391949152542373,0.0202595260998449,1677720700.50048,0,1,0.170731707317073,0.0772927041913313,0
"Centropogon solanifolius",3,0.1875,0.363095238095238,-0.212301587301587,0.375,0.866666666666667,0.53748384988657,0.866666666666667,1,1.33333333333333,0.0231838474025974,0.00301261532668047,0.0423728813559322,0.0320636301497546,419430397.854167,1.09861228866811,3,0.341463414634146,0.231878112573994,0.0851745689315708
"Columnea ciliata",6,0.375,0.779004329004329,-0.0368326118326118,0.0833333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,1.08333333333333,0.137150241251804,0.271538854668209,0.048728813559322,0.0417171962163473,838860795.708333,1.79175946922805,6,0.630081300813008,0.463756225147988,0
"Columnea picta",1,0.0625,0.125,-0.875,0.833333333333333,1,1,1,1,1.70833333333333,0,0,0.0328389830508475,0.0183437316695995,1677720700.50048,0,1,0.0975609756097561,0.0772927041913313,0.212051394888419
"Columnea strigosa",3,0.1875,0.287337662337662,-0.237554112554113,0.416666666666667,0.866666666666667,0.53748384988657,0.866666666666667,1,1.25,0.0368526222041847,0.0132070904053581,0.0444915254237288,0.0351104004354778,419430397.854167,1.09861228866811,3,0.402439024390244,0.231878112573994,0
"Drymonia tenuis",5,0.3125,1.77142857142857,0.154285714285714,0.208333333333333,0.733333333333333,0.382970843102535,0.733333333333333,1,1.375,0.0311569940476191,0.00470721144793824,0.0413135593220339,0.0328788071874602,838860790,1.6094379124341,5,0.353658536585366,0.386463520956657,0.350279392420457
"Fuchsia macrostigma",7,0.4375,1.73733766233766,0.105333951762523,0.0416666666666667,0.6,0.29277002188456,0.6,1,1.16666666666667,0.105211997204185,0.180030664120289,0.0466101694915254,0.0395887678379623,838860799.928571,1.94591014905531,7,0.533101045296167,0.541048929339319,0.190620894164321
"Gasteranthus pansamalanus",1,0.0625,0.125,-0.875,0.875,1,1,1,1,1.70833333333333,0,0,0.0328389830508475,0.0184747583243824,1677720700.50048,0,1,0.0975609756097561,0.0772927041913313,0.212051394888419
"Gasteranthus quitensis",4,0.25,0.596428571428571,-0.100892857142857,0.291666666666667,0.8,0.447213595499958,0.8,1,1.20833333333333,0.0984628652597403,0.0127094709094332,0.0455508474576271,0.0331598226335068,6710885302.00018,1.38629436111989,4,0.390243902439024,0.309170816765325,0.136851182710555
"Glossoloma oblongicalyx",3,0.1875,0.446428571428571,-0.18452380952381,0.458333333333333,0.866666666666667,0.53748384988657,0.866666666666667,1,1.33333333333333,0.018654457521645,0.0018828845791753,0.0423728813559322,0.0304290137107475,419430397.854167,1.09861228866811,3,0.317073170731707,0.231878112573994,0.142150770628423
"Glossoloma purpureum",3,0.1875,0.491666666666667,-0.169444444444444,0.5,0.866666666666667,0.53748384988657,0.866666666666667,1,1.58333333333333,0.0140625,0,0.0360169491525424,0.0298438403701562,419430397.854167,1.09861228866811,3,0.231707317073171,0.231878112573994,0.229857310827722
"Guzmania jaramilloi",3,0.1875,0.396428571428571,-0.201190476190476,0.541666666666667,0.866666666666667,0.53748384988657,0.866666666666667,1,1.33333333333333,0.0295268533549784,0.00282432686876294,0.0423728813559322,0.0300751879699248,419430397.854167,1.09861228866811,3,0.329268292682927,0.231878112573994,0.110794504126599
"Heliconia griggsiana",3,0.1875,0.825,-0.0583333333333333,0.583333333333333,0.866666666666667,0.53748384988657,0.866666666666667,1,1.66666666666667,0.00384114583333333,0,0.0338983050847458,0.0256933725041079,419430397.854167,1.09861228866811,3,0.182926829268293,0.231878112573994,0.38423497266366
"Kohleria affinis",2,0.125,0.162337662337662,-0.418831168831169,0.666666666666667,0.933333333333333,0.683130051063973,0.933333333333333,1,1.29166666666667,0.0218972650613276,0.00322780213572908,0.0434322033898305,0.0299590675530525,2941562359.8741,0.693147180559945,2,0.304878048780488,0.154585408382663,0
"Macleania bullata",1,0.0625,0.0909090909090909,-0.909090909090909,0.916666666666667,1,1,1,1,1.58333333333333,0,0,0.0360169491525424,0.0197440165298743,1677720700.50048,0,1,0.134146341463415,0.0772927041913313,0.091381893871948
