"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",1,0.0833333333333333,0.5,-0.5,0.352941176470588,1,1,1,1,3.125,0,0,0.0431576402321083,0.0184948979591837,1677720700.50048,0,1,0.0666666666666667,0.0945413922260329,0.569323441926607
"Bomarea multiflora",1,0.0833333333333333,1,0,0.411764705882353,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0333333333333333,0.0945413922260329,1
"Centropogon solanifolius",4,0.333333333333333,2.03333333333333,0.258333333333333,0.0588235294117647,0.727272727272727,0.426401432711221,0.727272727272727,1,1.75,0.321782178217822,0.321782178217822,0.0797872340425532,0.0335648148148148,6710885302.00018,1.38629436111989,4,0.366666666666667,0.378165568904131,0.379415898541229
"Columnea ciliata",2,0.166666666666667,0.5,-0.25,0.176470588235294,0.909090909090909,0.674199862463242,0.909090909090909,1,2.375,0.00165016501650165,0.00165016501650165,0.0610493230174081,0.0292338709677419,2941562359.8741,0.693147180559945,2,0.266666666666667,0.189082784452066,0.0744871473609633
"Columnea mastersonii",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.470588235294118,1,1,1,1,2.125,0,0,0.0604448742746615,0.0274621212121212,1677720700.50048,0,1,0.1,0.0945413922260329,0.317393805514015
"Columnea picta",1,0.0833333333333333,0.2,-0.8,0.529411764705882,1,1,1,1,2.4375,0,0,0.0610493230174081,0.0238486842105263,1677720700.50048,0,1,0.166666666666667,0.0945413922260329,0
"Drymonia collegarum",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.588235294117647,1,1,1,1,3.0625,0,0,0.046784332688588,0.0188802083333333,1677720700.50048,0,1,0.1,0.0945413922260329,0.317393805514015
"Drymonia tenuis",2,0.166666666666667,0.7,-0.15,0.235294117647059,0.909090909090909,0.674199862463242,0.909090909090909,1,2.375,0.0742574257425743,0.0742574257425743,0.0646760154738878,0.0244932432432432,2941562359.8741,0.693147180559945,2,0.233333333333333,0.189082784452066,0.231378213159759
"Glossoloma purpureum",2,0.166666666666667,0.5,-0.25,0.294117647058824,0.909090909090909,0.674199862463242,0.909090909090909,1,2.375,0.00165016501650165,0.00165016501650165,0.0610493230174081,0.0292338709677419,2941562359.8741,0.693147180559945,2,0.266666666666667,0.189082784452066,0.0744871473609633
"Heliconia impudica",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.647058823529412,1,1,1,1,3.0625,0,0,0.046784332688588,0.0188802083333333,1677720700.50048,0,1,0.1,0.0945413922260329,0.317393805514015
"Palicourea acetosoides",1,0.0833333333333333,0.2,-0.8,0.705882352941177,1,1,1,1,2.4375,0,0,0.0610493230174081,0.0238486842105263,1677720700.50048,0,1,0.166666666666667,0.0945413922260329,0
"Palicourea demissa",5,0.416666666666667,2.33333333333333,0.266666666666667,0,0.636363636363636,0.356753034006338,0.636363636363636,1,1.625,0.397689768976898,0.397689768976898,0.0822050290135397,0.03625,838860790,1.6094379124341,5,0.466666666666667,0.472706961130164,0.306251115151852
"Palicourea lineata",1,0.0833333333333333,0.5,-0.5,0.764705882352941,1,1,1,1,3.3125,0,0,0.0424323017408124,0.0174278846153846,1677720700.50048,0,1,0.0666666666666667,0.0945413922260329,0.569323441926607
"Psammisia sodiroi",1,0.0833333333333333,0.5,-0.5,0.823529411764706,1,1,1,1,2.6875,0,0,0.0489603481624758,0.021577380952381,1677720700.50048,0,1,0.0666666666666667,0.0945413922260329,0.569323441926607
"Psammisia ulbrichiana",3,0.25,1.33333333333333,0.111111111111111,0.117647058823529,0.818181818181818,0.522232967867094,0.818181818181818,1,2.1875,0.202970297029703,0.202970297029703,0.0646760154738878,0.0266544117647059,419430397.854167,1.09861228866811,3,0.233333333333333,0.283624176678099,0.432932098101468
"Renealmia sessilifolia",1,0.0833333333333333,0.2,-0.8,0.882352941176471,1,1,1,1,2.4375,0,0,0.0610493230174081,0.0238486842105263,1677720700.50048,0,1,0.166666666666667,0.0945413922260329,0
"Salvia quitensis",1,0.0833333333333333,0.25,-0.75,0.941176470588235,1,1,1,1,2.4375,0,0,0.0574226305609284,0.0232371794871795,1677720700.50048,0,1,0.133333333333333,0.0945413922260329,0.138646883853214
"Stromanthe stromanthoides",1,0.0833333333333333,0.25,-0.75,1,1,1,1,1,2.4375,0,0,0.0574226305609284,0.0232371794871795,1677720700.50048,0,1,0.133333333333333,0.0945413922260329,0.138646883853214
