"","Booted Racket-tail","Green-crowned Woodnymph","Purple-bibbed Whitetip","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","Wedge-billed Hummingbird","White-whiskered Hermit"
"Besleria solanoides",1,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0,0,1,0,0,0
"Columnea ciliata",0,0,0,1,1,0,0,1
"Columnea mastersonii",0,0,0,0,1,0,0,0
"Columnea picta",0,0,0,1,0,0,0,0
"Columnea strigosa",0,0,0,0,1,1,0,0
"Gasteranthus quitensis",1,0,0,1,0,0,0,0
"Glossoloma purpureum",0,0,0,1,0,0,0,1
"Guzmania jaramilloi",1,0,0,0,0,0,0,0
"Heliconia griggsiana",0,0,0,1,1,0,1,1
"Justicia secunda",0,0,0,1,0,0,0,0
"Palicourea demissa",1,1,1,0,0,0,0,0
"Pitcairnia nigra",0,1,0,0,0,0,0,0
"Renealmia sessilifolia",1,1,0,1,0,0,0,0
"Salvia quitensis",0,1,0,1,0,0,0,0
"Wercklea ferox",0,0,0,0,1,0,0,0
