"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",9,0.310344827586207,4.30952380952381,0.367724867724868,0.307692307692308,0.714285714285714,0.714285714285714,0.281718084909506,0.478835978835979,1.23076923076923,0.0648809523809524,0.0171428571428571,0.0746753246753247,0.060624112175228,3355443071.16667,2.19722457733622,9,0.368722412837375,0.340909090909091,0.410201430335988
"Brown Inca",13,0.448275862068966,3.55119047619048,0.196245421245421,0,0.571428571428571,0.571428571428571,0.209656967344384,0.273168498168498,1,0.353656462585034,0.731428571428571,0.0844155844155844,0.0815245020257884,3355443137.26923,2.56494935746154,13,0.532599040765098,0.631118881118881,0.0573450259955067
"Buff-tailed Coronet",10,0.344827586206897,3.625,0.2625,0.230769230769231,0.678571428571429,0.678571428571429,0.260494036125864,0.3625,1.15384615384615,0.0715136054421769,0.0342857142857143,0.0779220779220779,0.0632424293123641,1677721580,2.30258509299405,10,0.409691569819306,0.443181818181818,0.242277539034865
"Collared Inca",6,0.206896551724138,1.38452380952381,0.0640873015873016,0.384615384615385,0.821428571428571,0.821428571428571,0.370006434950477,0.230753968253968,1.15384615384615,0.0744897959183674,0.00857142857142857,0.0779220779220779,0.060431654676259,838860795.708333,1.79175946922805,6,0.245814941891584,0.340909090909091,0.130725721069765
"Fawn-breasted Brilliant",4,0.137931034482759,0.875,-0.03125,0.538461538461538,0.892857142857143,0.892857142857143,0.472455591261534,0.21875,1.23076923076923,0.0363945578231292,0,0.0746753246753247,0.0534718292781505,6710885302.00018,1.38629436111989,4,0.163876627927722,0.238636363636364,0.164645060948884
"Gorgeted Sunangel",6,0.206896551724138,1.55119047619048,0.0918650793650794,0.461538461538462,0.821428571428571,0.821428571428571,0.370006434950477,0.258531746031746,1.15384615384615,0.0744897959183674,0.0171428571428571,0.0779220779220779,0.0586624691002206,838860795.708333,1.79175946922805,6,0.245814941891584,0.329545454545455,0.168960543422537
"Green-fronted Lancebill",3,0.103448275862069,0.575,-0.141666666666667,0.615384615384615,0.928571428571429,0.928571428571429,0.556348640264187,0.191666666666667,1.38461538461538,0,0,0.0681818181818182,0.0495728417266187,419430397.854167,1.09861228866811,3,0.122907470945792,0.193181818181818,0.127543951684442
"Hoary Puffleg",2,0.0689655172413793,1.14285714285714,0.0714285714285714,0.769230769230769,0.964285714285714,0.964285714285714,0.694365074829414,0.571428571428571,1.53846153846154,0,0,0.0616883116883117,0.0288205468932954,2941562359.8741,0.693147180559945,2,0.0819383139638612,0.0909090909090909,0.516586301382294
"Sparkling Violetear",3,0.103448275862069,0.666666666666667,-0.111111111111111,0.692307692307692,0.928571428571429,0.928571428571429,0.556348640264187,0.222222222222222,1.53846153846154,0,0,0.0616883116883117,0.0446853784577971,419430397.854167,1.09861228866811,3,0.122907470945792,0.170454545454545,0.195110580084938
"Speckled Hummingbird",2,0.0689655172413793,0.392857142857143,-0.303571428571429,0.846153846153846,0.964285714285714,0.964285714285714,0.694365074829414,0.196428571428571,1.46153846153846,0.00595238095238095,0,0.0649350649350649,0.0410789193418679,2941562359.8741,0.693147180559945,2,0.0819383139638612,0.125,0.172195433794098
"Tawny-bellied Hermit",13,0.448275862068966,5.03333333333333,0.31025641025641,0.0769230769230769,0.571428571428571,0.571428571428571,0.209656967344384,0.387179487179487,1.15384615384615,0.197108843537415,0,0.0779220779220779,0.0659140277805456,3355443137.26923,2.56494935746154,13,0.532599040765098,0.465909090909091,0.28247543443951
"Violet-tailed Sylph",13,0.448275862068966,4.43452380952381,0.264194139194139,0.153846153846154,0.571428571428571,0.571428571428571,0.209656967344384,0.341117216117216,1.07692307692308,0.121513605442177,0.191428571428571,0.0811688311688312,0.0761743546339399,3355443137.26923,2.56494935746154,13,0.532599040765098,0.585664335664336,0.147501973255137
"Wedge-billed Hummingbird",2,0.0689655172413793,0.458333333333333,-0.270833333333333,0.923076923076923,0.964285714285714,0.964285714285714,0.694365074829414,0.229166666666667,1.38461538461538,0,0,0.0681818181818182,0.0392090035489631,2941562359.8741,0.693147180559945,2,0.0819383139638612,0.125,0.210490393258648
"White-whiskered Hermit",2,0.0689655172413793,1,0,1,0.964285714285714,0.964285714285714,0.694365074829414,0.5,1.84615384615385,0,0,0.0487012987012987,0.0260232005782933,2941562359.8741,0.693147180559945,2,0.0819383139638612,0.0454545454545455,0.655609132411804
