"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Bomarea pardina",2,0.142857142857143,0.583333333333333,-0.208333333333333,0.588235294117647,0.923076923076923,0.679366220486758,0.923076923076923,1,1.75,0.0256410256410256,0,0.0429184549356223,0.0372075182201764,2941562359.8741,0.693147180559945,2,0.11864406779661,0.194120989815483,0.480958551305197
"Centropogon solanifolius",2,0.142857142857143,0.416666666666667,-0.291666666666667,0.647058823529412,0.923076923076923,0.679366220486758,0.923076923076923,1,1.3125,0,0,0.0579399141630901,0.0385379419944378,2941562359.8741,0.693147180559945,2,0.254237288135593,0.194120989815483,0.25148300383831
"Columnea ciliata",2,0.142857142857143,0.211111111111111,-0.394444444444444,0.705882352941177,0.923076923076923,0.679366220486758,0.923076923076923,1,1.3125,0.0129222629222629,0,0.0579399141630901,0.0412414965986395,2941562359.8741,0.693147180559945,2,0.322033898305085,0.194120989815483,0.0600903537610295
"Columnea mastersonii",4,0.285714285714286,0.461111111111111,-0.134722222222222,0.176470588235294,0.769230769230769,0.438529009653515,0.769230769230769,1,1.125,0.0439051689051689,0.00966183574879227,0.0643776824034335,0.0591102985984156,6710885302.00018,1.38629436111989,4,0.627118644067797,0.388241979630966,0
"Columnea picta",3,0.214285714285714,0.294444444444444,-0.235185185185185,0.352941176470588,0.846153846153846,0.531085004543794,0.846153846153846,1,1.125,0.0439051689051689,0.00483091787439614,0.0643776824034335,0.0537098560354374,419430397.854167,1.09861228866811,3,0.525423728813559,0.291181484723225,0
"Drymonia teuscheri",3,0.214285714285714,0.294444444444444,-0.235185185185185,0.411764705882353,0.846153846153846,0.531085004543794,0.846153846153846,1,1.125,0.0439051689051689,0.00483091787439614,0.0643776824034335,0.0537098560354374,419430397.854167,1.09861228866811,3,0.525423728813559,0.291181484723225,0
"Glossoloma purpureum",4,0.285714285714286,0.461111111111111,-0.134722222222222,0.235294117647059,0.769230769230769,0.438529009653515,0.769230769230769,1,1.125,0.0439051689051689,0.0169082125603865,0.0643776824034335,0.0591102985984156,6710885302.00018,1.38629436111989,4,0.627118644067797,0.388241979630966,0
"Heliconia burleana",1,0.0714285714285714,0.0833333333333333,-0.916666666666667,0.823529411764706,1,1,1,1,1.3125,0,0,0.0579399141630901,0.0280671296296296,1677720700.50048,0,1,0.203389830508475,0.0970604949077415,0
"Heliconia griggsiana",2,0.142857142857143,0.416666666666667,-0.291666666666667,0.764705882352941,0.923076923076923,0.679366220486758,0.923076923076923,1,1.3125,0,0,0.0579399141630901,0.0385379419944378,2941562359.8741,0.693147180559945,2,0.254237288135593,0.194120989815483,0.25148300383831
"Heliconia impudica",5,0.357142857142857,1.52777777777778,0.105555555555556,0.0588235294117647,0.692307692307692,0.372104203767625,0.692307692307692,1,1.3125,0.0790598290598291,0,0.0579399141630901,0.0524041058887088,838860790,1.6094379124341,5,0.389830508474576,0.485302474538708,0.334672272550229
"Heliconia virginalis",4,0.285714285714286,0.794444444444444,-0.0513888888888889,0.294117647058824,0.769230769230769,0.438529009653515,0.769230769230769,1,1.125,0.0439051689051689,0.00483091787439614,0.0643776824034335,0.0568248388986526,6710885302.00018,1.38629436111989,4,0.559322033898305,0.388241979630966,0.125176929218184
"Palicourea acetosoides",1,0.0714285714285714,0.333333333333333,-0.666666666666667,0.882352941176471,1,1,1,1,1.875,0,0,0.0386266094420601,0.0245135203436947,1677720700.50048,0,1,0.0508474576271186,0.0970604949077415,0.55788589130226
"Palicourea demissa",13,0.928571428571429,5.21111111111111,0.323931623931624,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,1,1,0.501170126170126,0.958937198067633,0.0686695278969957,0.0720118782479584,3355443137.26923,2.56494935746154,13,0.663624511082138,1.26178643380064,0.120690288363386
"Psammisia aberrans",3,0.214285714285714,0.35,-0.216666666666667,0.470588235294118,0.846153846153846,0.531085004543794,0.846153846153846,1,1.1875,0.021011396011396,0,0.0622317596566524,0.0495910020449898,419430397.854167,1.09861228866811,3,0.474576271186441,0.291181484723225,0.0580503329734798
"Psammisia ulbrichiana",5,0.357142857142857,0.933333333333333,-0.0133333333333333,0.117647058823529,0.692307692307692,0.372104203767625,0.692307692307692,1,1.125,0.132122507122507,0,0.0643776824034335,0.056231884057971,838860790,1.6094379124341,5,0.589830508474576,0.485302474538708,0.108101656576156
"Renealmia sessilifolia",3,0.214285714285714,0.516666666666667,-0.161111111111111,0.529411764705882,0.846153846153846,0.531085004543794,0.846153846153846,1,1.25,0.00854700854700855,0,0.0600858369098712,0.0481150793650794,419430397.854167,1.09861228866811,3,0.423728813559322,0.291181484723225,0.157288032658355
"Salvia quitensis",1,0.0714285714285714,0.111111111111111,-0.888888888888889,0.941176470588235,1,1,1,1,1.5,0,0,0.0515021459227468,0.0264593562465903,1677720700.50048,0,1,0.152542372881356,0.0970604949077415,0.115771782604519
"Sarcopera anomala",1,0.0714285714285714,1,0,1,1,1,1,1,NA,0,NA,0,NA,1677720700.50048,0,1,0.0169491525423729,0.0970604949077415,1
