"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",3,0.25,1.64285714285714,0.214285714285714,0,0.818181818181818,0.818181818181818,0.522232967867094,0.547619047619048,1,1,1,0.125,0.142857142857143,419430397.854167,1.09861228866811,3,0.341531691690597,0.476190476190476,0.293929747908719
"Brown Inca",3,0.25,3,0.666666666666667,0.0769230769230769,0.818181818181818,0.818181818181818,0.522232967867094,1,NA,0,0,0,NA,419430397.854167,1.09861228866811,3,0.341531691690597,0.142857142857143,1
"Buff-tailed Coronet",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.384615384615385,1,1,1,0.333333333333333,1,0,0,0.0357142857142857,NA,1677720700.50048,0,1,0.113843897230199,0.142857142857143,0.43542496594642
"Collared Inca",2,0.166666666666667,1.33333333333333,0.166666666666667,0.153846153846154,0.909090909090909,0.909090909090909,0.674199862463242,0.666666666666667,1,0,0,0.0357142857142857,NA,2941562359.8741,0.693147180559945,2,0.227687794460398,0.19047619047619,0.63915119328547
"Green-crowned Woodnymph",2,0.166666666666667,1.14285714285714,0.0714285714285714,0.230769230769231,0.909090909090909,0.909090909090909,0.674199862463242,0.571428571428571,1.14285714285714,0,0,0.116071428571429,0.125,2941562359.8741,0.693147180559945,2,0.227687794460398,0.380952380952381,0.36084880671453
"Green-crowned Brilliant",1,0.0833333333333333,1,0,0.461538461538462,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.113843897230199,0.0476190476190476,1
"Purple-bibbed Whitetip",1,0.0833333333333333,0.142857142857143,-0.857142857142857,0.538461538461538,1,1,1,0.142857142857143,1.14285714285714,0,0,0.116071428571429,0.125,1677720700.50048,0,1,0.113843897230199,0.333333333333333,0
"Rufous-tailed Hummingbird",1,0.0833333333333333,0.142857142857143,-0.857142857142857,0.615384615384615,1,1,1,0.142857142857143,1.14285714285714,0,0,0.116071428571429,0.125,1677720700.50048,0,1,0.113843897230199,0.333333333333333,0
"Sparkling Violetear",1,0.0833333333333333,0.5,-0.5,0.692307692307692,1,1,1,0.5,1.85714285714286,0,0,0.0714285714285714,0.0769230769230769,1677720700.50048,0,1,0.113843897230199,0.0952380952380952,0.643792812891978
"Stripe-throated Hermit",1,0.0833333333333333,0.142857142857143,-0.857142857142857,0.769230769230769,1,1,1,0.142857142857143,1.14285714285714,0,0,0.116071428571429,0.125,1677720700.50048,0,1,0.113843897230199,0.333333333333333,0
"Tawny-bellied Hermit",2,0.166666666666667,2,0.5,0.307692307692308,0.909090909090909,0.909090909090909,0.674199862463242,1,NA,0,0,0,NA,2941562359.8741,0.693147180559945,2,0.227687794460398,0.0952380952380952,1
"Tyrian Metaltail",1,0.0833333333333333,0.333333333333333,-0.666666666666667,0.846153846153846,1,1,1,0.333333333333333,1,0,0,0.0357142857142857,NA,1677720700.50048,0,1,0.113843897230199,0.142857142857143,0.43542496594642
"Violet-tailed Sylph",1,0.0833333333333333,0.142857142857143,-0.857142857142857,0.923076923076923,1,1,1,0.142857142857143,1.14285714285714,0,0,0.116071428571429,0.125,1677720700.50048,0,1,0.113843897230199,0.333333333333333,0
"White-whiskered Hermit",1,0.0833333333333333,0.142857142857143,-0.857142857142857,1,1,1,1,0.142857142857143,1.14285714285714,0,0,0.116071428571429,0.125,1677720700.50048,0,1,0.113843897230199,0.333333333333333,0
