"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",5,0.3125,0.635353535353535,-0.0729292929292929,0.0869565217391304,0.733333333333333,0.382970843102535,0.733333333333333,1,1.04545454545455,0.236669146825397,0.291632653061224,0.0560869565217391,0.0466666666666667,838860790,1.6094379124341,5,0.688524590163934,0.454918806710695,0
"Bomarea pardina",3,0.1875,1.19090909090909,0.0636363636363637,0.260869565217391,0.866666666666667,0.53748384988657,0.866666666666667,1,1.36363636363636,0.038343253968254,0.0110204081632653,0.0478260869565217,0.0345006485084306,419430397.854167,1.09861228866811,3,0.360655737704918,0.272951284026417,0.318544297770384
"Centropogon solanifolius",1,0.0625,0.1,-0.9,0.608695652173913,1,1,1,1,1.63636363636364,0,0,0.04,0.0233948988566403,1677720700.50048,0,1,0.163934426229508,0.0909837613421391,0.0397474322108726
"Columnea ciliata",1,0.0625,0.166666666666667,-0.833333333333333,0.652173913043478,1,1,1,1,1.77272727272727,0,0,0.0352173913043478,0.0217854217854218,1677720700.50048,0,1,0.0983606557377049,0.0909837613421391,0.252778263690786
"Columnea medicinalis",1,0.0625,0.1,-0.9,0.695652173913043,1,1,1,1,1.63636363636364,0,0,0.04,0.0233948988566403,1677720700.50048,0,1,0.163934426229508,0.0909837613421391,0.0397474322108726
"Columnea picta",1,0.0625,0.111111111111111,-0.888888888888889,0.739130434782609,1,1,1,1,1.63636363636364,0,0,0.0391304347826087,0.0222222222222222,1677720700.50048,0,1,0.147540983606557,0.0909837613421391,0.0836861800173475
"Columnea strigosa",1,0.0625,0.1,-0.9,0.782608695652174,1,1,1,1,1.63636363636364,0,0,0.04,0.0233948988566403,1677720700.50048,0,1,0.163934426229508,0.0909837613421391,0.0397474322108726
"Drymonia collegarum",1,0.0625,0.0909090909090909,-0.909090909090909,0.826086956521739,1,1,1,1,1.59090909090909,0,0,0.041304347826087,0.0237076648841355,1677720700.50048,0,1,0.180327868852459,0.0909837613421391,0
"Drymonia tenuis",1,0.0625,0.0909090909090909,-0.909090909090909,0.869565217391304,1,1,1,1,1.59090909090909,0,0,0.041304347826087,0.0237076648841355,1677720700.50048,0,1,0.180327868852459,0.0909837613421391,0
"Fuchsia macrostigma",2,0.125,0.190909090909091,-0.404545454545455,0.478260869565217,0.933333333333333,0.683130051063973,0.933333333333333,1,1.36363636363636,0.038343253968254,0.0110204081632653,0.0478260869565217,0.0345006485084306,2941562359.8741,0.693147180559945,2,0.344262295081967,0.181967522684278,0
"Gasteranthus quitensis",3,0.1875,0.377777777777778,-0.207407407407407,0.304347826086957,0.866666666666667,0.53748384988657,0.866666666666667,1,1.27272727272727,0.109350198412698,0.0352040816326531,0.0495652173913043,0.0375706214689265,419430397.854167,1.09861228866811,3,0.409836065573771,0.272951284026417,0.0878749973459124
"Glossoloma oblongicalyx",2,0.125,0.266666666666667,-0.366666666666667,0.521739130434783,0.933333333333333,0.683130051063973,0.933333333333333,1,1.45454545454545,0.0249751984126984,0,0.0443478260869565,0.0311111111111111,2941562359.8741,0.693147180559945,2,0.262295081967213,0.181967522684278,0.128951884999126
"Guzmania amplectens",3,0.1875,0.302020202020202,-0.232659932659933,0.347826086956522,0.866666666666667,0.53748384988657,0.866666666666667,1,1.13636363636364,0.110367063492064,0.033469387755102,0.0534782608695652,0.0404870624048706,419430397.854167,1.09861228866811,3,0.491803278688525,0.272951284026417,0
"Guzmania jaramilloi",3,0.1875,1.2020202020202,0.0673400673400674,0.391304347826087,0.866666666666667,0.53748384988657,0.866666666666667,1,1.31818181818182,0.0495287698412698,0.00459183673469388,0.0482608695652174,0.0322424242424242,419430397.854167,1.09861228866811,3,0.344262295081967,0.272951284026417,0.333819018351581
