"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.25,0.25
"web asymmetry",-0.157894736842105,-0.157894736842105
"links per species",1.15789473684211,1.15789473684211
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.136363636363636,0.136363636363636
"nestedness",19.6087952554266,19.6087952554266
"weighted nestedness",0.535669316973864,0.536279561446718
"weighted NODF",44.1566265060241,44.1566265060241
"interaction strength asymmetry",0,0
"specialisation asymmetry",0.0619946560197382,0.0619946560197382
"linkage density",3.63636363636364,3.63636363636364
"weighted connectance",0.191387559808612,0.191387559808612
"Fisher alpha",26843542120.0914,26843542120.0914
"Shannon diversity",3.09104245335832,3.09104245335832
"interaction evenness",0.690375234528464,0.690375234528464
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",8,11
"mean.number.of.shared.partners.HL",0.714285714285714,0.690909090909091
"cluster.coefficient.HL",0.40495867768595,0.352272727272727
"weighted.cluster.coefficient.HL",0.132231404958678,0.234375
"niche.overlap.HL",0.231807874665018,0.323809523809524
"togetherness.HL",0.122448979591837,0.184090909090909
"C.score.HL",0.523469387755102,0.445757575757576
"V.ratio.HL",2.63157894736842,1.375
"discrepancy.HL",9,6
"extinction.slope.HL",1.86580617587862,1.81082675482016
"robustness.HL",0.648062373642613,0.643307874503182
"functional.complementarity.HL",13.2596466419102,13.1094119661372
"partner.diversity.HL",1.30000147323442,0.869888384142256
"generality.HL",4.45454545454545,2.81818181818182
"Raw.Camera",44,44
"Raw.Transect",40,40
