"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.207100591715976,0.207100591715976
"web asymmetry",0,0
"links per species",1.34615384615385,1.34615384615385
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.230769230769231,0.230769230769231
"nestedness",24.0437954598802,23.9827808388849
"weighted nestedness",0.19298463250961,0.193911831206123
"weighted NODF",25.1068376068376,25.1068376068376
"interaction strength asymmetry",0,0
"specialisation asymmetry",-0.00284290688208635,-0.00284290688208635
"linkage density",3.54285714285714,3.54285714285714
"weighted connectance",0.136263736263736,0.136263736263736
"Fisher alpha",26843543788.9287,26843543788.9287
"Shannon diversity",3.55534806148941,3.55534806148941
"interaction evenness",0.693063988017301,0.693063988017301
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",13,13
"mean.number.of.shared.partners.HL",0.564102564102564,0.576923076923077
"cluster.coefficient.HL",0.274725274725275,0.27032967032967
"weighted.cluster.coefficient.HL",0.311787072243346,0.348360655737705
"niche.overlap.HL",0.176668701668702,0.181593406593407
"togetherness.HL",0.106730769230769,0.110576923076923
"C.score.HL",0.69531339031339,0.657891737891738
"V.ratio.HL",1.20481927710843,1.13333333333333
"discrepancy.HL",20,19
"extinction.slope.HL",2.30436653523049,2.18841618676021
"robustness.HL",0.689008695836529,0.678415334272032
"functional.complementarity.HL",21.2028591230113,21.4781260597011
"partner.diversity.HL",1.16308227288309,1.15337375649478
"generality.HL",3.57142857142857,3.51428571428571
"Raw.Camera",78,78
"Raw.Transect",78,78
