"","Hummingbird","Iplant_Double","ID","Time","Month","Year","Transect_R","ele","DateP","Yobs","Day","Survey_Type","Pierce","Traitmatch","jBird","jPlant","All_Flowers","Used_Flowers","FlowerA","BAll_Flowers","UThresh","BUsed_Flowers","FThresh","BFlowerA","Camera","Transect","jTime","jID","scaledR"
"1","Andean Emerald","Heliconia griggsiana","NF126","9_2014",9,"2014","1300_1500",1378,"2014-09-30",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,412,1
"2","Andean Emerald","Heliconia griggsiana","NF126A","9_2014",9,"2014","1300_1500",1378,"2014-09-21",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,413,1
"3","Andean Emerald","Heliconia griggsiana","NF126A","9_2014",9,"2014","1300_1500",1378,"2014-09-21",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,413,1
"4","Andean Emerald","Heliconia griggsiana","NF126","9_2014",9,"2014","1300_1500",1378,"2014-09-30",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,412,1
"5","Andean Emerald","Heliconia griggsiana","NF126","9_2014",9,"2014","1300_1500",1378,"2014-09-30",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,412,1
"6","Andean Emerald","Heliconia griggsiana","NF126A","9_2014",9,"2014","1300_1500",1378,"2014-09-21",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,413,1
"7","Andean Emerald","Heliconia griggsiana","NF126","9_2014",9,"2014","1300_1500",1378,"2014-09-30",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,412,1
"8","Andean Emerald","Heliconia griggsiana","NF126A","9_2014",9,"2014","1300_1500",1378,"2014-09-21",1,1,"Camera","",18.98,1,23,4988,87,2.5,1,1770.15,0,1015.0625,0,1,NA,31,413,1
"9","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-15",1,2,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"10","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-15",1,2,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"11","Andean Emerald","Palicourea demissa","NF144","11_2014",11,"2014","1300_1500",1379,"2014-11-30",0,1,"Camera",NA,8.31,1,34,11501.5,37,33,1,1770.15,0,1015.0625,0,0,NA,7,421,1
"12","Andean Emerald","Palicourea demissa","6_2016_Transect","6_2016",6,"2016","1300_1500",1370,"2016-06-11",1,3,"Transect",NA,8.31,1,34,3300,1609.5,1607.5,0,1770.15,0,1015.0625,1,NA,1,23,22,0
"13","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-15",1,2,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"14","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-15",1,2,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"15","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-15",1,2,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"16","Andean Emerald","Palicourea demissa","4_2016_Transect","4_2016",4,"2016","1300_1500",1378.33333333333,"2016-04-24",0,3,"Transect",NA,8.31,1,34,1988,771.5,771.5,0,1770.15,0,1015.0625,0,NA,0,16,16,0
"17","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-15",1,2,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"18","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-14",1,1,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"19","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-15",1,2,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"20","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-14",1,1,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"21","Andean Emerald","Palicourea demissa","6_2016_Transect","6_2016",6,"2016","1500_1700",1590,"2016-06-11",1,3,"Transect",NA,8.31,1,34,3300,1609.5,1607.5,0,1770.15,0,1015.0625,1,NA,1,23,22,0
"22","Andean Emerald","Palicourea demissa","5_2015_Transect","5_2015",5,"2015","1300_1500",1370,"2015-05-09",1,1,"Transect",NA,8.31,1,34,2720,1014,1013,0,1770.15,0,1015.0625,0,NA,1,18,18,0
"23","Andean Emerald","Palicourea demissa","6_2016_Transect","6_2016",6,"2016","1500_1700",1580,"2016-06-11",1,3,"Transect",NA,8.31,1,34,3300,1609.5,1607.5,0,1770.15,0,1015.0625,1,NA,1,23,22,0
"24","Andean Emerald","Palicourea demissa","FL099","8_2013",8,"2013","1300_1500",1380,"2013-08-14",1,1,"Camera","",8.31,1,34,23280.3555555556,1770.15,1770.15,1,1770.15,0,1015.0625,1,1,NA,27,360,1
"25","Booted Racket-tail","Alloplectus tetragonoides","FL027","6_2013",6,"2013","1900_2100",2090,"2013-06-16",0,2,"Camera",NA,15.6,2,1,25684.2638888889,17050.3333333333,1050.33333333333,1,10739.5,1,1886.4598358761,0,0,NA,20,315,1
"26","Booted Racket-tail","Alloplectus tetragonoides","4_2014_Transect","4_2014",4,"2014","1900_2100",1940,"2014-04-22",0,4,"Transect",NA,15.6,2,1,1034.5,325.5,20,0,10739.5,0,1886.4598358761,0,NA,0,14,14,0
"27","Booted Racket-tail","Alloplectus tetragonoides","4_2015_Transect","4_2015",4,"2015","1900_2100",2200,"2015-04-28",0,4,"Transect",NA,15.6,2,1,1611,937,42,0,10739.5,0,1886.4598358761,0,NA,0,15,15,0
"28","Booted Racket-tail","Alloplectus tetragonoides","FH819","7_2014",7,"2014","1900_2100",2080,"2014-07-22",0,1,"Camera",NA,15.6,2,1,4734,2661,7,1,10739.5,0,1886.4598358761,0,0,NA,25,282,1
"29","Booted Racket-tail","Alloplectus tetragonoides","FH704","12_2013",12,"2013","1900_2100",1940,"2013-12-04",0,1,"Camera",NA,15.6,2,1,2024.16666666667,1059.5,10,0,10739.5,0,1886.4598358761,0,0,NA,8,252,0
