"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",9,0.375,0.399731534985248,-0.0666964961127503,0.0727272727272727,0.97650456638826,0.675947863872528,0.652173913043478,1,1.10909090909091,0.0348940538407426,0.113603988603989,0.020534421482164,0.0249255672501991,NA,1.06331345910066,2.89595072375478,0.323005546555871,0.233002813513597,0.347533571827075
"Bomarea multiflora",4,0.166666666666667,0.188863303076845,-0.202784174230789,0.454545454545455,0.942028985507246,0.525313106446804,0.869565217391304,1,1.27272727272727,0.00588221546154979,0,0.0187574042385152,0.0120251269943945,NA,1.27703425946614,3.58598882705695,0.305321256974933,0.288521996965908,0.180545473328282
"Bomarea pardina",5,0.208333333333333,0.814678868862058,-0.0370642262275884,0.327272727272727,0.953964194373402,0.547544328325854,0.826086956521739,1,1.23636363636364,0.00797105478263899,0.000356125356125356,0.0191522969593261,0.0218631374359919,NA,1.29734797766253,3.65957850298461,0.329271073931536,0.294442885534918,0.30352084506633
"Burmeistera cylindrocarpa",2,0.0833333333333333,0.0495189897231985,-0.475240505138401,0.727272727272727,0.978260869565217,0.732278556328103,0.956521739130435,1,1.43636363636364,0.000392888882788722,0,0.0169803869948664,0.00746652098225517,NA,0.636514168294813,1.88988157484231,0.215633259138964,0.152056359431016,0
"Burmeistera multiflora",1,0.0416666666666667,0.0485471309410953,-0.951452869058905,0.763636363636364,1,1,1,1,1.50909090909091,0,0,0.0161906015532447,0.0104563076662452,NA,0,1,0.137409723444775,0.0804581416397496,0.218720435970971
"Calathea ischnosiphonoides",1,0.0416666666666667,0.0441747794926283,-0.955825220507372,0.872727272727273,1,1,1,1,1.69090909090909,0,0,0.0142161379491905,0.00557188833821852,NA,0,1,0.0755051628244845,0.0804581416397496,0.199228308332973
"Centropogon solanifolius",7,0.291666666666667,0.274852892795144,-0.103592443886408,0.163636363636364,0.992094861660079,0.842350833488442,0.739130434782609,1,1.18181818181818,0.0116923509826202,0,0.0197446360405423,0.0138589636145608,NA,0.676928854612786,1.96782496595823,0.250168577022965,0.158327539833303,0.183577508426121
"Columnea ciliata",6,0.25,0.083638754732399,-0.152726874211267,0.272727272727273,0.96695652173913,0.599511718912905,0.782608695652174,1,1.10909090909091,0.0382181636583887,0,0.020534421482164,0.0121418603495601,NA,1.2545120064642,3.50612698949761,0.444128868924371,0.282096461927948,0
"Columnea mastersonii",2,0.0833333333333333,0.170521693902744,-0.414739153048628,0.690909090909091,0.959197324414716,0.691944133406468,0.956521739130435,1,1.41818181818182,0.000254042157141241,0,0.0171778333552718,0.0184084524251801,NA,0.692643190619824,1.99899227408295,0.24496427953744,0.160835203524931,0.266684879055492
"Columnea medicinalis",1,0.0416666666666667,0.0304923768390482,-0.969507623160952,0.854545454545454,1,1,1,1,1.45454545454545,0,0,0.0169145715413979,0.00830603576334194,NA,0,1,0.164078251554432,0.0804581416397496,0
"Columnea picta",4,0.166666666666667,0.0825127621037494,-0.229371809474063,0.490909090909091,0.934782608695652,0.557946545670898,0.869565217391304,1,1.18181818181818,0.0256074024354792,0,0.0197446360405423,0.00921562754408899,NA,1.19354960409813,3.29876977693224,0.346602964414922,0.265412885949339,0.0368381989039644
"Columnea strigosa",3,0.125,0.128596138143895,-0.290467953952035,0.581818181818182,0.98731884057971,0.783228024609201,0.91304347826087,1,1.2,0.00924923294037773,0.00854700854700855,0.0195471896801369,0.0239181107493832,NA,0.669252499593498,1.9527770732801,0.385105446096751,0.157116814352826,0.205615889971272
"Drymonia collegarum",3,0.125,0.156367060510921,-0.281210979829693,0.6,0.976284584980237,0.698059809844008,0.91304347826087,1,1.23636363636364,0.00797105478263899,0,0.0191522969593261,0.0165500137793389,NA,0.808269958000182,2.24402237355389,0.332114432397019,0.180549869974166,0.147641734291013
"Drymonia tenuis",6,0.25,0.143175986746152,-0.142804002208975,0.290909090909091,0.950724637681159,0.519981186950652,0.782608695652174,1,1.23636363636364,0.0384973146913289,0,0.0191522969593261,0.0113128921123391,NA,1.42409593564724,4.15410057036047,0.419741461834578,0.334231212075827,0
"Drymonia teuscheri",5,0.208333333333333,0.501040557371534,-0.0997918885256932,0.309090909090909,0.944099378881988,0.50607719809806,0.826086956521739,1,1.12727272727273,0.0360926801340446,0.169159544159544,0.0203369751217586,0.0334302511603397,NA,1.3877638463147,4.00588226166896,0.479340939414129,0.322305842401521,0.237114860686711
"Faramea calyptrata",3,0.125,0.214572125635104,-0.261809291454965,0.654545454545455,0.91304347826087,0.551677284367371,0.91304347826087,1,1.58181818181818,0.00435220237057166,0,0.015400816111623,0.00707998721144614,NA,1.09861228866811,3,0.107914745488378,0.241374424919249,0.173786578800419
"Fuchsia macrostigma",4,0.166666666666667,0.0811440632813635,-0.229713984179659,0.509090909090909,0.976284584980237,0.66630299493483,0.869565217391304,1,1.23636363636364,0.00797105478263899,0,0.0191522969593261,0.00860468744687222,NA,1.00621456594408,2.73522737019234,0.375615894749103,0.220071311167855,0
"Gasteranthus pansamalanus",1,0.0416666666666667,0.0406565024520643,-0.959343497547936,0.781818181818182,1,1,1,1,1.45454545454545,0,0,0.0169145715413979,0.0106688073660841,NA,0,1,0.164078251554432,0.0804581416397496,0.172912038514314
"Gasteranthus quitensis",6,0.25,0.195808722074548,-0.134031879654242,0.254545454545455,0.950724637681159,0.523885981621126,0.782608695652174,1,1.10909090909091,0.0382181636583887,0,0.020534421482164,0.0153479500634775,NA,1.42716548270284,4.16687136778936,0.388562557393202,0.335258726704214,0.122231766065255
"Glossoloma oblongicalyx",4,0.166666666666667,1.08094345278676,0.0202358631966898,0.472727272727273,0.979933110367893,0.70501720497011,0.869565217391304,1,1.27272727272727,0.00588221546154979,0,0.0187574042385152,0.0111688802835026,NA,0.897622184878044,2.45376157748112,0.267178396666609,0.197425096551152,0.102091463161724
"Glossoloma purpureum",3,0.125,0.326609980546292,-0.224463339817903,0.563636363636364,0.965217391304348,0.663033578765094,0.91304347826087,1,1.34545454545455,0.0128154941760728,0.0334757834757835,0.0179676187968935,0.0208946219274222,NA,0.854414981600184,2.34999918559381,0.202158519970477,0.189076567327803,0.404947110004551
"Glossoloma tetragonoides",1,0.0416666666666667,0.0242735654705477,-0.975726434529452,0.890909090909091,1,1,1,1,1.50909090909091,0,0,0.0161906015532447,0.00569393017190363,NA,0,1,0.137409723444775,0.0804581416397496,0.0455307966237736
"Guzmania amplectens",4,0.166666666666667,0.163277824030377,-0.209180543992406,0.436363636363636,0.947826086956522,0.597936324073412,0.869565217391304,1,1.2,0.00924923294037773,0,0.0195471896801369,0.0159650112382178,NA,1.08253488576348,2.95215344607051,0.373760729856704,0.237524780106216,0.148094674291632
"Guzmania jaramilloi",5,0.208333333333333,0.566743462527021,-0.0866513074945959,0.363636363636364,0.967963386727689,0.614142425397314,0.826086956521739,1,1.16363636363636,0.0169360608803702,0,0.0199420824009477,0.0216374145380196,NA,1.15523470798996,3.17476847361589,0.337574723932532,0.255435971523599,0.216464441408769
"Guzmania squarrosa",6,0.25,0.503481427224883,-0.0827530954625196,0.2,0.922924901185771,0.439868943413266,0.782608695652174,1,1.18181818181818,0.0116923509826202,0.00712250712250712,0.0197446360405423,0.0211301540895007,NA,1.60975361809078,5.0015787774848,0.431021378546172,0.402417733701237,0.245492968360835
"Heliconia burleana",3,0.125,0.185138148592633,-0.271620617135789,0.618181818181818,0.963768115942029,0.643103774647501,0.91304347826087,1,1.29090909090909,0.00382410946141834,0,0.0185599578781098,0.0146633237916168,NA,0.916464885539471,2.50043542207737,0.330168349210887,0.201180387350548,0.105713330827231
"Heliconia griggsiana",6,0.25,0.965308112596829,-0.00578198123386176,0.181818181818182,0.975425330812854,0.657852359004653,0.782608695652174,1,1.18181818181818,0.0636007871798724,0.0911680911680912,0.0197446360405423,0.0303423702656249,NA,1.07738098947418,2.93697749461209,0.310098867239389,0.236303751254257,0.395182237162646
"Heliconia impudica",6,0.25,0.862877827731923,-0.0228536953780128,0.218181818181818,0.904347826086957,0.429863476810548,0.782608695652174,1,1.09090909090909,0.0508788920990734,0,0.0207318678425694,0.0203022040550875,NA,1.63043258262889,5.1060830436871,0.481697806495342,0.4108259527533,0.246337783878791
"Heliconia virginalis",4,0.166666666666667,0.685212740250348,-0.078696814937413,0.418181818181818,0.960144927536232,0.584096511805325,0.869565217391304,1,1.30909090909091,0.0404827636154941,0.0192307692307692,0.0183625115177044,0.0240103522353728,NA,1.13926556715537,3.1244728068711,0.21780747527223,0.251389275644781,0.467890039979508
"Heppiella ulmifolia",1,0.0416666666666667,0.0630655977855408,-0.936934402214459,0.909090909090909,1,1,1,1,1.78181818181818,0,0,0.0132289061471634,0.00548803442763006,NA,0,1,0.0528881678037676,0.0804581416397496,0.290615581883868
"Justicia secunda",1,0.0416666666666667,0.0507544036503018,-0.949245596349698,0.927272727272727,1,1,1,1,1.78181818181818,0,0,0.0133605370541003,0.00546338715969267,NA,0,1,0.0657169364319142,0.0804581416397496,0.2348683223278
"Kohleria affinis",3,0.125,0.0436120144190117,-0.318795995193663,0.636363636363636,0.956521739130435,0.589767824619589,0.91304347826087,1,1.2,0.00924923294037773,0,0.0195471896801369,0.00973396522212967,NA,1.03972077083992,2.82842712474619,0.457999040509268,0.227569990220539,0
"Macleania bullata",5,0.208333333333333,0.789818231877686,-0.0420363536244629,0.345454545454545,0.941176470588235,0.49475509971667,0.826086956521739,1,1.25454545454545,0.00661355578411635,0,0.0189548505989206,0.016985379906432,NA,1.42491991905719,4.15752489091162,0.420739827096901,0.334506726543752,0.308730142885251
"Macleania macrantha",1,0.0416666666666667,0.126131195571082,-0.873868804428918,0.8,1,1,1,1,1.78181818181818,0,0,0.0132289061471634,0.00978233934483712,NA,0,1,0.0528881678037676,0.0804581416397496,0.46529950082994
"Macleania recumbens",1,0.0416666666666667,0.240596829344109,-0.759403170655891,0.818181818181818,1,1,1,1,1.90909090909091,0,0,0.0119784125312623,0.00928303996050363,NA,0,1,0.0277262499877433,0.0804581416397496,0.632080869497111
"Macleania stricta",7,0.291666666666667,0.437264782972102,-0.0803907452896997,0.145454545454545,0.938808373590982,0.525696764045895,0.739130434782609,1,1.27272727272727,0.0147094369763223,0.000356125356125356,0.0187574042385152,0.0185407165856672,NA,1.40985669639283,4.09536848094206,0.280045271546836,0.329505737306602,0.308093427044573
"Meriania tomentosa",9,0.375,1.91821962584719,0.10202440287191,0.0363636363636364,0.952762811677735,0.527668639736033,0.652173913043478,1,1.2,0.0552208006308048,0.124643874643875,0.0195471896801369,0.0268914889952752,NA,1.43083918316728,4.18220735773719,0.340221782613681,0.336492631955621,0.457345501171131
"Mezobromelia capituligera",9,0.375,0.544530170220102,-0.0506077588644331,0.0545454545454545,0.917493007882024,0.468161302994365,0.652173913043478,1,1.10909090909091,0.0348940538407426,0.112891737891738,0.020534421482164,0.0282578799581933,NA,1.62559744295318,5.08145400936824,0.511825443625857,0.408844346421623,0.157950192920714
"Mikania websteri",1,0.0416666666666667,0.468518518518519,-0.531481481481481,0.945454545454545,1,1,1,1,2.09090909090909,0,0,0.0109253652757668,0.00519655312477068,NA,0,1,0.00711908662409629,0.0804581416397496,0.805382562562051
"Palicourea acetosoides",5,0.208333333333333,0.598535115880127,-0.0802929768239746,0.381818181818182,0.964319470699433,0.590450280792682,0.826086956521739,1,1.30909090909091,0.00452623059058431,0,0.0183625115177044,0.0125550263370957,NA,1.19652182510278,3.3085890350266,0.271604964853707,0.266202925207893,0.247520034811352
"Palicourea demissa",16,0.666666666666667,3.87601008560218,0.179750630350136,0,0.881720430107527,0.342762692520245,0.347826086956522,1,1.01818181818182,0.120130345889406,0.066951566951567,0.0215216532841911,0.0221013238382058,NA,2.16268962430837,8.69449115307585,0.363203780618972,0.699542600679726,0.342682882904851
"Palicourea lineata",6,0.25,0.416701341350698,-0.0972164431082169,0.236363636363636,0.952259164535379,0.579275717314222,0.782608695652174,1,1.21818181818182,0.0433625509707455,0.00961538461538462,0.0193497433197315,0.0195811618229666,NA,1.1844379965694,3.26884920067482,0.293346146672278,0.263005531986877,0.359133218950436
"Palicourea sodiroi",1,0.0416666666666667,0.0441747794926283,-0.955825220507372,0.963636363636364,1,1,1,1,1.69090909090909,0,0,0.0142161379491905,0.00557188833821852,NA,0,1,0.0755051628244845,0.0804581416397496,0.199228308332973
"Pitcairnia nigra",1,0.0416666666666667,0.120298414672055,-0.879701585327945,0.981818181818182,1,1,1,1,1.90909090909091,0,0,0.0119784125312623,0.00532728449352311,NA,0,1,0.0277262499877433,0.0804581416397496,0.456386248378028
"Pitcairnia sodiroi",4,0.166666666666667,0.423740088662149,-0.144064977834463,0.4,0.956521739130435,0.619074161983382,0.869565217391304,1,1.14545454545455,0.0257218216124525,0.201566951566952,0.0201395287613532,0.0371846017118748,NA,1.0204819628242,2.77453166288669,0.405031900065947,0.223233661516508,0.299441635598005
"Pitcairnia squarrosa",2,0.0833333333333333,0.156839192303066,-0.421580403848467,0.745454545454545,0.956521739130435,0.691564074808125,0.956521739130435,1,1.43636363636364,0.00178187730788518,0,0.0169803869948664,0.00524354648545742,NA,0.693147180559945,2,0.148934838777302,0.160916283279499,0.185702260518003
"Psammisia aberrans",3,0.125,0.248647310821561,-0.250450896392813,0.545454545454545,0.961739130434783,0.612024811321788,0.91304347826087,1,1.29090909090909,0.00382410946141834,0.00676638176638177,0.0185599578781098,0.0196259110659881,NA,0.997929930013094,2.71266061498998,0.4014753450475,0.218255631981434,0.251024303921369
"Psammisia ecuadorensis",2,0.0833333333333333,0.172041415916959,-0.41397929204152,0.672727272727273,0.992753623188406,0.86281765365604,0.956521739130435,1,1.38181818181818,0.00481876334370815,0.000712250712250712,0.0175727260760827,0.0231744242511387,NA,0.410116318288409,1.50699306577254,0.232016228334545,0.121249861536047,0.345974017973404
"Psammisia sodiroi",8,0.333333333333333,1.00326741472593,0.00040842684074173,0.109090909090909,0.937888198757764,0.495261882828441,0.695652173913043,1,1.23636363636364,0.0399857844916295,0.0270655270655271,0.0191522969593261,0.0222541325043363,NA,1.53069059021575,4.62136719151996,0.352500675611932,0.371826616064605,0.338677703900233
"Psammisia ulbrichiana",11,0.458333333333333,0.516172593349004,-0.0439843096955451,0.0181818181818182,0.934626212073819,0.425688992785392,0.565217391304348,1,1.10909090909091,0.0348940538407426,0.00534188034188034,0.020534421482164,0.0187945278286639,NA,1.90174279439219,6.69755674116271,0.506071240394317,0.538872968920729,0.087635764796307
"Renealmia sessilifolia",9,0.375,0.150249888002989,-0.094416679110779,0.0909090909090909,0.902173913043478,0.408825542657207,0.652173913043478,1,1.07272727272727,0.0858974885529035,0,0.0209293142029749,0.0143925505329889,NA,1.81963719204031,6.16961965666241,0.608753589403303,0.496396132199127,0
"Salvia quitensis",2,0.0833333333333333,0.212412418286933,-0.393793790856534,0.709090909090909,0.992753623188406,0.86281765365604,0.956521739130435,1,1.74545454545455,0.00650994575045208,0.00142450142450142,0.0137554297749112,0.0138066623038432,NA,0.410116318288409,1.50699306577254,0.0934431864196576,0.121249861536047,0.450510795118167
"Sarcopera anomala",7,0.291666666666667,2.20646704654662,0.172352435220945,0.127272727272727,0.971221532091097,0.657034652999029,0.739130434782609,1,1.32727272727273,0.0163080450068208,0,0.0181650651572989,0.0186045269901481,NA,1.03184577056388,2.80624073393342,0.176066895393123,0.22578491444605,0.691668593333321
"Stromanthe stromanthoides",1,0.0416666666666667,0.0507544036503018,-0.949245596349698,1,1,1,1,1,1.78181818181818,0,0,0.0133605370541003,0.00546338715969267,NA,0,1,0.0657169364319142,0.0804581416397496,0.2348683223278
"Tillandsia complanata",4,0.166666666666667,0.067759832651745,-0.233060041837064,0.527272727272727,0.891304347826087,0.483076505723,0.869565217391304,1,1.27272727272727,0.00892612065069996,0,0.0187574042385152,0.00828861131618064,NA,1.35178399428965,3.86431329785834,0.414894222755306,0.310915466659454,0
"Wercklea ferox",1,0.0416666666666667,0.0406565024520643,-0.959343497547936,0.836363636363636,1,1,1,1,1.45454545454545,0,0,0.0169145715413979,0.0106688073660841,NA,0,1,0.164078251554432,0.0804581416397496,0.172912038514314
