"","Metric","Level","value","Time"
"1","connectance","Hummingbirds",0.207692307692308,"1.2014"
"2","web asymmetry","Hummingbirds",0.130434782608696,"1.2014"
"3","links per species","Hummingbirds",1.17391304347826,"1.2014"
"4","number of compartments","Hummingbirds",1,"1.2014"
"5","compartment diversity","Hummingbirds",NA,"1.2014"
"6","cluster coefficient","Hummingbirds",0.2,"1.2014"
"7","nestedness","Hummingbirds",36.2823664306912,"1.2014"
"8","weighted nestedness","Hummingbirds",0.0727197270967758,"1.2014"
"9","weighted NODF","Hummingbirds",10.840108401084,"1.2014"
"10","interaction strength asymmetry","Hummingbirds",0.12821468654802,"1.2014"
"11","specialisation asymmetry","Hummingbirds",-0.0553519307911318,"1.2014"
"12","linkage density","Hummingbirds",2.21619083921052,"1.2014"
"13","weighted connectance","Hummingbirds",0.0963561234439358,"1.2014"
"14","Fisher alpha","Hummingbirds",NA,"1.2014"
"15","Shannon diversity","Hummingbirds",2.95649413356438,"1.2014"
"16","interaction evenness","Hummingbirds",0.607390489714492,"1.2014"
"17","Alatalo interaction evenness","Hummingbirds",0.802818235086542,"1.2014"
"18","H2","Hummingbirds",0.772990577822809,"1.2014"
"19","number.of.species.HL","Hummingbirds",13,"1.2014"
"20","mean.number.of.shared.partners.HL","Hummingbirds",0.346153846153846,"1.2014"
"21","cluster.coefficient.HL","Hummingbirds",0.246494464944649,"1.2014"
"22","weighted.cluster.coefficient.HL","Hummingbirds",0,"1.2014"
"23","niche.overlap.HL","Hummingbirds",0.119677176571551,"1.2014"
"24","togetherness.HL","Hummingbirds",0.0886752136752137,"1.2014"
"25","C.score.HL","Hummingbirds",0.752314814814815,"1.2014"
"26","V.ratio.HL","Hummingbirds",0.814814814814815,"1.2014"
"27","discrepancy.HL","Hummingbirds",16,"1.2014"
"28","extinction.slope.HL","Hummingbirds",1.78260348871905,"1.2014"
"29","robustness.HL","Hummingbirds",0.636305531913301,"1.2014"
"30","functional.complementarity.HL","Hummingbirds",39.9197437997119,"1.2014"
"31","partner.diversity.HL","Hummingbirds",0.638556913388149,"1.2014"
"32","generality.HL","Hummingbirds",2.11536224535378,"1.2014"
"33","connectance","Plants",0.207692307692308,"1.2014"
"34","web asymmetry","Plants",0.130434782608696,"1.2014"
"35","links per species","Plants",1.17391304347826,"1.2014"
"36","number of compartments","Plants",1,"1.2014"
"37","compartment diversity","Plants",NA,"1.2014"
"38","cluster coefficient","Plants",0.2,"1.2014"
"39","nestedness","Plants",36.9691497958329,"1.2014"
"40","weighted nestedness","Plants",0.0844946290951734,"1.2014"
"41","weighted NODF","Plants",10.840108401084,"1.2014"
"42","interaction strength asymmetry","Plants",0.12821468654802,"1.2014"
"43","specialisation asymmetry","Plants",-0.0553519307911318,"1.2014"
"44","linkage density","Plants",2.21619083921052,"1.2014"
"45","weighted connectance","Plants",0.0963561234439358,"1.2014"
"46","Fisher alpha","Plants",NA,"1.2014"
"47","Shannon diversity","Plants",2.95649413356438,"1.2014"
"48","interaction evenness","Plants",0.607390489714492,"1.2014"
"49","Alatalo interaction evenness","Plants",0.802818235086542,"1.2014"
"50","H2","Plants",0.772990577822809,"1.2014"
"51","number.of.species.HL","Plants",10,"1.2014"
"52","mean.number.of.shared.partners.HL","Plants",0.511111111111111,"1.2014"
"53","cluster.coefficient.HL","Plants",0.224808401930173,"1.2014"
"54","weighted.cluster.coefficient.HL","Plants",0,"1.2014"
"55","niche.overlap.HL","Plants",0.13038865038707,"1.2014"
"56","togetherness.HL","Plants",0.12283950617284,"1.2014"
"57","C.score.HL","Plants",0.697067901234568,"1.2014"
"58","V.ratio.HL","Plants",0.411167512690355,"1.2014"
"59","discrepancy.HL","Plants",15,"1.2014"
"60","extinction.slope.HL","Plants",2.70914175131603,"1.2014"
"61","robustness.HL","Plants",0.728076531345238,"1.2014"
"62","functional.complementarity.HL","Plants",39.1446740208595,"1.2014"
"63","partner.diversity.HL","Plants",0.795693714283536,"1.2014"
"64","generality.HL","Plants",2.31701943306727,"1.2014"
"65","connectance","Hummingbirds",0.227272727272727,"10.2013"
"66","web asymmetry","Hummingbirds",-0.0476190476190476,"10.2013"
"67","links per species","Hummingbirds",1.19047619047619,"10.2013"
"68","number of compartments","Hummingbirds",1,"10.2013"
